clade_name	NCBI_tax_id	CA01	CA02	CA03	CA04	CA05	CA06	CA08	CA12	CA13	CA14	CA15	CA16	CA17	CA18	CA19	CA20	CA21	CA22	CA23	CA24	CA25	CA26	CA27	CA28	CA29	CA30	CA31	CA32	CA33	CA34	CA35	CA36	CA37	CA38	CA39	CA40	CA41
s__Eggerthella_lenta	0	0.20952	0.50334	0.0	0.0	0.30621	0.13191	0.05829	0.00751	0.00224	0.00205	0.01252	0.00092	0.0	0.0	0.13368	0.0	0.72536	0.10984	0.342	0.48142	0.0	0.19095	0.00338	0.03285	0.47303	0.00292	0.0	0.06664	0.0	0.11836	0.05909	0.0273	1.59738	0.05801	0.01477	0.0	0.0
s__Streptococcus_salivarius	0	0.13146	0.21197	0.07306	0.03524	2.00051	0.07189	0.06296	0.11926	0.0	0.0	0.00465	0.00263	0.02252	0.03444	0.06873	3.44461	0.59747	0.26714	25.95346	0.09381	12.64448	5.23063	0.81689	0.02819	0.18348	0.05192	0.22712	0.03519	0.05258	0.2326	0.12201	7.15546	0.00772	0.08317	0.21805	0.09973	0.02863
s__Dorea_longicatena	0	0.11821	4.86109	2.27884	0.48293	0.09053	0.0	0.52461	3.71492	3.43849	2.87177	0.60288	0.93316	2.99323	0.7659	0.0	1.67163	0.0	3.56203	2.86045	5.52048	1.85524	1.02346	1.10701	4.10299	1.84965	2.24488	0.0	3.50735	0.08164	2.54348	0.9341	0.97028	0.0	0.0	1.32312	1.0366	3.6303
s__Streptococcus_mitis	0	0.09657	0.03109	0.00945	0.0	0.0	0.00872	0.0	0.02556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01641	0.00912	0.00805	0.1433	0.0	0.0615	0.0	0.00429	0.0	0.0	0.0	0.02985	0.08661	0.0	0.00255	0.00171	0.00418	0.0	0.00923	0.0	0.0	0.0
s__Gordonibacter_pamelaeae	0	0.07252	0.29618	0.0	0.00466	0.12354	0.05328	0.0071	0.00038	0.00115	0.0	0.00197	0.0428	0.0	0.00063	0.1146	0.0293	0.10094	0.04517	0.06824	0.06558	0.0	0.03801	0.00251	0.03662	0.18677	0.00066	0.0	0.02691	0.02128	0.02434	0.01566	0.00214	0.30145	0.00593	0.03421	0.00299	0.01114
s__Blautia_wexlerae	0	0.06525	0.12116	0.04674	0.20396	0.17496	0.00166	0.08044	0.29568	0.09364	0.07017	0.67698	0.34087	0.11983	0.12765	0.00728	0.2106	16.87814	7.85155	3.20573	0.09611	0.71863	0.00706	0.30154	0.29508	0.04172	0.42906	0.0	0.77198	0.0303	3.8315	0.30326	3.64153	10.7093	5.33305	0.73708	0.22356	0.02029
s__Clostridium_saccharolyticum	0	0.06039	0.18847	0.00064	0.0	0.0	1.44366	0.0	0.00438	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98014	0.0	0.0	0.0	0.0
s__Streptococcus_oralis	0	0.04975	0.00546	0.00354	0.0	0.0	0.00524	0.0	0.01942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01968	0.0623	0.05194	0.01925	0.01159	0.01192	0.0	0.00965	0.0	0.0	0.0	0.01883	0.00502	0.0	0.0	0.0059	0.0	0.0	0.004	0.0	0.0	0.0
s__Blautia_hydrogenotrophica	0	0.04718	0.48894	0.0	0.0	0.0	0.17047	0.0	0.0	0.0	0.0	0.00199	0.0	0.0	0.0	0.22862	0.0	0.0	0.0	0.0	0.0	0.0	0.11979	0.0	0.06678	1.00633	0.0	0.0	0.0	0.02569	0.00725	0.00574	0.0	0.0	0.0	0.00475	0.0	0.00052
s__Anaerotignum_lactatifermentans	0	0.04317	1.52655	0.0	0.0	0.0	7.75981	0.02945	0.32368	0.0	0.0	0.0	0.0	0.0	0.0	0.84385	0.03918	0.0	0.59869	0.26823	0.08742	0.0	0.0	0.06486	0.22488	0.0	0.0	0.0	0.0	0.0	0.45818	0.17661	0.35667	0.51235	0.20497	0.0	0.0	0.0
