clade_name	NCBI_tax_id	op146_M1	op147_M1	op151_M1	op152_M1	op153_M1	op155_M1	op157_M1	op158_M1	op159_M1	op160_M1	op161_M1	op162_M1	op163_M1	op164_M1	op167_M1	op168_M1	op174_M1	op175_M1	op176_M1	op177_M1
s__Olsenella_scatoligenes	0	0.09312	0.00261	0.00711	0.0	0.0	0.10296	0.0	0.01646	1.70849	0.00923	0.0	0.0	0.00841	0.04263	0.0	0.04932	0.0	0.0	0.00971	0.0
s__Erysipelatoclostridium_ramosum	0	0.09229	0.0	0.0	0.0	0.0	0.10056	0.0	0.0	0.0	0.0	0.04057	0.05945	0.0	0.0	0.0	0.0	0.02409	0.0	0.0	0.0
s__Blautia_sp_N6H1_15	0	0.08703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.73829	0.0	0.0	0.0
s__Eubacterium_siraeum	0	0.08347	0.00232	0.0	0.0	0.0	0.21306	0.0985	1.92868	3.30978	4.9604	0.0	0.0	0.02228	0.01814	0.0	0.63867	0.0	0.0	0.19574	1.29931
s__Bilophila_wadsworthia	0	0.06836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07891	0.0	0.0
s__Klebsiella_pneumoniae	0	0.06812	2.88105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.05929	0.0	0.0
s__Clostridium_asparagiforme	0	0.06351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.58407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_caccae	0	0.0488	0.0	0.35807	0.01286	0.0287	0.0	0.0	0.19238	1.01527	3.41721	11.8105	0.0	0.0	0.02264	0.05801	0.0	1.12577	1.2385	0.07939	0.80432
s__Anaerotruncus_colihominis	0	0.04647	0.0	0.0261	0.0	0.0	0.0	0.0	0.0	0.0	0.00937	0.16346	0.0109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_coccoides	0	0.04548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00668	0.0	0.0	0.0	0.0	0.0	0.00367	0.0	0.0	0.0
s__Coprococcus_catus	0	0.04355	0.27465	0.22152	0.17743	0.53419	0.0	0.54044	1.11135	1.14424	1.42273	0.0	0.52284	0.30701	0.51082	1.41626	0.56489	0.0	0.82087	0.54535	0.57339
s__Clostridium_innocuum	0	0.04328	0.00349	0.0	0.0	0.00235	0.01288	0.0	0.0	0.00492	0.00943	0.11907	0.07306	0.0209	0.0	0.07026	0.0	0.515	0.0	0.0	0.0
s__Clostridium_bolteae	0	0.03427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01971	0.0	0.0	0.0	0.0	0.02953	0.0	0.0	0.0
s__Bacteroides_cellulosilyticus	0	0.03271	0.0	0.0	0.0	0.0	0.0	0.19814	0.00301	0.01235	0.01219	0.0	0.0	0.08588	0.0	0.00133	0.00054	0.04382	0.08959	0.0	0.0
s__Bacteroides_xylanisolvens	0	0.02658	0.0	0.0	0.04155	0.02288	0.0	0.0	0.01906	0.02732	0.06003	0.0	0.0	0.00061	0.0	0.0	0.10479	0.0	0.17491	0.04476	0.01667
s__Enorma_massiliensis	0	0.02596	0.00712	0.00772	0.00656	0.00359	14.73499	1.01974	0.01321	0.00648	0.00649	0.0	8.9627	0.18831	0.02295	0.00292	0.01557	0.0	0.0	0.00567	0.00221
s__Clostridium_bolteae_CAG_59	0	0.02525	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00529	0.0	0.0	0.0
s__Anaeromassilibacillus_sp_An250	0	0.02456	0.0	0.0	0.0	0.0	0.0096	0.01639	0.00611	0.50707	0.0	0.00304	0.16306	0.0	0.01442	0.0	0.0067	0.08152	0.0	0.00838	0.01864
s__Agathobaculum_butyriciproducens	0	0.02354	1.24594	0.47415	1.41614	0.66659	0.04792	0.84926	0.22933	0.14351	0.39692	0.0	0.0	0.77841	0.74114	5.18773	0.05719	0.82525	0.07586	0.36986	0.41979
s__Phascolarctobacterium_faecium	0	0.01573	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.92565	0.0	0.166	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_animalis	0	0.01536	0.21916	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.58191	1.72882	0.0	0.00372	0.0	0.00151	0.0
s__Bifidobacterium_gallinarum	0	0.01535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_oris	0	0.01357	0.00054	0.0	0.0	0.0	0.03116	0.0	0.0	0.0	0.0	0.00085	0.04018	0.00052	0.0	0.0	0.0	0.00064	0.00743	0.0	0.0
s__Eubacterium_eligens	0	0.00916	0.03269	1.1517	0.00232	0.0	0.0	0.24276	0.38869	0.17212	0.15079	0.0	0.0	0.06005	0.0	0.22145	0.43651	0.0	0.40336	1.73093	0.24715
s__Lachnoclostridium_sp_An138	0	0.00881	0.0	0.00554	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02726	0.01248	0.00935	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bifidobacterium_saeculare	0	0.00864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_parvula	0	0.00837	0.01951	0.0	0.00479	0.0	0.0	0.0	0.0	0.0017	0.0	0.0	0.02067	0.0	0.0	0.45854	0.0	0.04623	0.23514	0.0	0.0
s__Clostridium_symbiosum	0	0.00615	0.0	0.0025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_limosum	0	0.00519	0.0	0.0	0.0	0.0	0.00935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00968	0.0	0.0	0.0	0.0	0.0	0.0
s__Absiella_dolichum	0	0.00305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Butyricicoccus_pullicaecorum	0	0.00277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03334	0.0	0.0	0.0	0.0	0.0
s__Enterorhabdus_caecimuris	0	0.00251	0.00101	0.0	0.00108	0.0	0.02654	0.04441	0.0	0.05762	0.0	0.0	0.04911	0.00483	0.0	0.00324	0.00496	0.04274	0.0	0.00058	0.0
s__Lactonifactor_longoviformis	0	0.0023	0.0	0.0	0.0	0.0	0.05303	0.0	0.0	0.0	0.0	0.06637	0.02724	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_dolichum_CAG_375	0	0.00206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Hungatella_hathewayi	0	0.00203	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5659	0.0	0.0	0.0	0.0	0.0	0.01708	0.0	0.0	0.0
s__Massiliomicrobiota_timonensis	0	0.00187	0.0	0.0	0.0	0.0	0.0033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00655	0.0	0.0	0.0
s__Clostridium_citroniae	0	0.00168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00305	0.0	0.0
s__Denitrobacterium_detoxificans	0	0.00086	0.0	0.0	0.0	0.0	0.00905	0.0	0.0	0.0	0.0	0.0	0.00368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lachnoclostridium_sp_An131	0	0.00043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
