clade_name	NCBI_tax_id	SAMEA4031752	SAMEA4031753	SAMEA4031754	SAMEA4031755	SAMEA4031756	SAMEA4031758	SAMEA4031759	SAMEA4031760	SAMEA4031761	SAMEA4031762	SAMEA4031763	SAMEA4031764	SAMEA4031765	SAMEA4031766	SAMEA4031767	SAMEA4031768	SAMEA4031769	SAMEA4031770	SAMEA4031771	SAMEA4031772	SAMEA4031773	SAMEA4031774	SAMEA4031775
s__Prevotella_buccae	0	0.03501	0.0	0.0	0.01241	0.0	0.0	0.00451	0.04012	0.01618	0.0	0.01917	0.0816	0.02736	0.0	0.0	0.05914	0.09258	0.06511	0.28329	0.05361	0.0	0.0	0.00204
s__Leptotrichia_sp_oral_taxon_212	0	0.03461	0.25837	0.24434	0.12392	0.01102	0.01425	0.01295	0.0	0.1133	0.04253	0.10707	0.00137	0.0	0.15951	0.07104	0.24193	0.09991	0.15259	0.06154	0.12027	0.11741	0.02726	0.07942
s__Prevotella_sp_oral_taxon_299	0	0.03376	0.09553	0.05765	0.1252	0.00997	0.01188	0.04593	0.0	0.0	0.0	0.00136	0.00667	0.00349	0.21526	0.06348	0.02043	0.16323	0.03076	0.0	0.07529	0.05625	0.00588	0.05829
s__Eggerthia_catenaformis	0	0.03214	0.01485	0.08589	0.01841	0.0	0.0	0.0	0.26788	0.02651	0.01245	0.10498	0.01397	0.01359	0.0	0.31849	1.198	0.0	0.3173	0.24729	0.12232	0.0006	0.0	0.06264
s__Bacteroidetes_oral_taxon_274	0	0.03202	0.0279	0.17426	0.28448	0.00158	0.00414	0.02371	0.0	0.40798	0.14108	0.11689	0.09814	0.0	0.15622	0.0	0.02701	0.40058	0.0637	0.17266	0.21026	0.12142	0.03831	0.05768
s__Treponema_medium	0	0.0308	0.0293	0.2098	0.06467	0.03877	0.0	0.06158	0.06671	0.14355	0.13773	0.04825	0.01379	0.12434	0.07699	0.16398	0.02782	0.14033	0.08196	0.25313	0.06816	0.00717	0.01995	0.04377
s__Neisseria_lactamica	0	0.03051	0.00215	0.05542	0.00441	0.00678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.26477	0.0	0.0	0.0266	0.0	0.00446	0.0	0.0	0.0	0.0	0.0
s__Leptotrichia_sp_oral_taxon_498	0	0.02945	0.02242	0.01455	0.10307	0.03806	0.1181	0.0	0.03858	0.14527	0.0	0.09829	0.03512	0.01985	0.03831	0.05019	0.03755	0.13367	0.20162	0.28724	0.13996	0.03116	0.05688	0.04891
s__Prevotella_nigrescens	0	0.0241	0.33039	0.45284	0.69813	0.00812	0.0116	0.48096	0.87939	0.13408	0.75914	0.12325	0.42291	0.28363	0.959	0.42165	0.50453	1.2065	0.7695	1.85127	1.67763	0.05251	0.27371	0.06325
s__Leptotrichia_sp_oral_taxon_879	0	0.02357	0.08619	0.03915	0.01717	0.0161	0.00752	0.0025	0.00579	0.0	0.0	0.07201	0.03214	0.0	0.1213	0.03327	0.14255	0.01679	0.14247	0.06406	0.03029	0.02429	0.04756	0.01908
s__Prevotella_veroralis	0	0.02237	0.21331	0.01416	0.13393	0.08702	0.05647	0.01476	0.30007	0.0	0.0	0.20266	0.27742	0.19913	0.0493	0.32862	0.06051	0.07538	0.252	0.26193	0.31839	0.02124	0.06069	0.04596
s__Capnocytophaga_sp_oral_taxon_863	0	0.02179	0.09874	0.37673	0.00102	0.0176	0.0042	0.37823	0.0	0.0	0.10347	0.00788	0.00811	0.0	0.0	0.07214	0.00161	0.0	0.01874	0.0	0.0	0.0104	0.00087	0.06522
