clade_name	NCBI_tax_id	MMPD11819740ST	MMPD13674240ST	MMPD13967032ST	MMPD15187820ST	MMPD15249256ST	MMPD15431352ST	MMPD16704201ST	MMPD17122405ST	MMPD17444064ST	MMPD18335439ST	MMPD19218411ST	MMPD19359459ST	MMPD19623701ST	MMPD20413160ST	MMPD21946553ST	MMPD23066988ST	MMPD23212378ST	MMPD24188488ST	MMPD25043039ST	MMPD27078321ST	MMPD27380896ST	MMPD27744413ST	MMPD29762767ST	MMPD29951127ST	MMPD30531062ST	MMPD33788863ST	MMPD33826006ST	MMPD34227989ST	MMPD34845324ST	MMPD36816868ST	MMPD37460080ST	MMPD37940420ST	MMPD39823498ST	MMPD41403504ST	MMPD44276157ST	MMPD44591718ST	MMPD45281271ST	MMPD45969642ST	MMPD47465864ST	MMPD50836218ST	MMPD52850328ST	MMPD54490160ST	MMPD56131850ST	MMPD58315584ST	MMPD59466593ST	MMPD60018995ST	MMPD65722427ST	MMPD69225512ST	MMPD76778172ST	MMPD78206795ST	MMPD79688031ST	MMPD79900020ST	MMPD89180418ST	MMPD91172559ST	MMPD91702294ST	MMPD91893113ST	MMPD93172239ST	MMPD94895988ST	MMPD97202411ST
s__Veillonella_atypica	0	0.0	0.12105	0.0	0.0	0.0	0.0	0.0	0.00173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_finegoldii	0	0.0	0.08958	1.91133	0.0	0.0	0.0	0.0	5.66654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13335	0.0	0.0	0.0	0.0	0.0	0.84895	0.0	0.0	0.0	0.0	0.66544	0.0	0.09181	0.0	0.0	0.0	0.0	0.00614	0.0	0.0	1.01633	0.0565	0.0	0.0	0.0	0.0	0.0	0.32401	0.0	0.15279	0.31899	0.19527	0.01871	0.15432	0.0	0.0	0.0	0.0	2.42869	0.0	0.0	0.0
s__Bifidobacterium_animalis	0	0.0	0.08744	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32078	0.0	0.0	0.0	0.0	1.58477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_CAG_241	0	0.0	0.08211	0.25159	2.45717	0.00886	1.57466	0.0	1.36696	8.33052	0.29956	0.01623	0.0	0.03773	0.11827	0.10324	1.58571	1.87886	0.19648	3.09309	0.0	0.0	3.87028	0.0	0.99383	0.09656	0.0	0.91275	0.54501	0.04206	5.1566	0.0	0.31423	0.0	6.45249	0.05417	0.0	0.50538	0.68381	0.00988	0.0	0.03921	0.0	0.52565	0.63219	0.57256	0.0	2.74707	0.0	0.55962	0.05001	0.09341	2.7865	0.40409	0.58314	0.47007	0.0	1.77422	4.59443	1.92576
s__Bacteroides_intestinalis	0	0.0	0.067	0.0	0.0	0.0	0.0	0.0	0.05293	0.0	0.03125	0.0	0.57575	0.0	0.0	4.66814	0.0	0.0	0.0	0.14756	0.0	0.0	0.0	0.58606	0.0	0.0	0.0	0.0	0.48756	0.0	0.92972	0.0	0.0	0.0	0.00344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149	0.0	0.0
s__Anaerostipes_hadrus	0	0.0	0.05422	0.39262	0.09485	0.35187	0.04237	0.0	0.31442	0.05245	0.1758	0.01154	0.53739	0.33724	0.76309	1.04727	0.19122	0.01915	0.64778	0.0	0.19225	0.0	0.0	0.0	0.00836	0.10182	0.0	0.44902	0.07009	1.59466	0.63468	3.96275	0.10345	0.93617	0.17771	0.0	9.07774	1.23012	0.42805	0.00216	1.25665	0.0	0.0	0.0	0.11596	0.6404	1.08402	0.02605	0.26183	0.64215	0.0	0.66242	0.52155	0.0	0.0	0.01312	0.35545	0.05031	0.0	0.0
s__Clostridium_perfringens	0	0.0	0.04957	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Catenibacterium_mitsuokai	0	0.0	0.04758	0.0	0.52892	0.0	0.0	0.0	0.0	0.0	0.06898	0.0914	0.0	0.0	0.0	0.0	0.0	0.64643	0.0	0.0	0.0	0.0	2.16748	0.0	0.0497	0.0	0.15043	0.0	0.0	1.46823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31923	0.0	0.0	0.0	0.0	0.0	0.0	0.32888	0.0	0.0	0.0	0.0	0.0	0.0	0.24619	0.14314	0.03551	0.82907	0.0	0.0	0.0	0.0
s__Streptococcus_parasanguinis	0	0.0	0.04573	0.0	0.37902	0.08791	0.0	0.0	0.05326	0.0	0.0	0.53417	0.00275	0.0	0.0	0.0	0.01378	0.0	0.0	0.0	0.0	0.0	0.00426	0.10659	0.86584	0.0	0.0	0.0	0.07881	0.0	0.0	0.42192	0.0	0.0	0.0334	0.07779	0.19274	0.0	0.0	0.2948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03502	0.0855	0.0	0.0	0.61328	1.02203	0.0	0.0
s__Butyricimonas_virosa	0	0.0	0.03599	0.0	0.0	0.26309	0.0	0.077	0.47284	0.0	0.01679	0.0	0.06909	0.07779	0.13526	0.0	0.03176	0.12846	0.17515	0.0	0.06703	0.0	0.05971	0.50218	0.06548	0.16236	0.59092	0.0	0.77611	0.02898	0.0	0.0	0.0	0.0	0.02509	0.0	0.0	0.0	0.22223	0.14663	0.01113	0.01583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08942	0.17639	0.05052	0.0	0.0
