clade_name	NCBI_tax_id	CM_A01_I1_18	CM_A01_M0_18	CM_A04_I1_18	CM_A04_M0_18	CM_A06_I1_18	CM_A06_M0_18	CM_D02_I1_18	CM_D02_M0_18	CM_D03_I12_18	CM_D03_M0_18	CM_D04_I1_18	CM_D04_M0_18	CM_D05_I1_18	CM_D05_M0_18	CM_D06_I1_18	CM_D06_M0_18	CM_D07_I1_18	CM_D07_M0_18	CM_D08_I1_18	CM_D08_M0_18	CM_D09_I1_18	CM_D09_M0_18	CM_D10_I1_18	CM_D10_M0_18	CM_D11_I1_18	CM_D11_M0_18	CM_D13_I1_18	CM_D13_M0_18	CM_D15_I1_18	CM_D15_M0_18	CM_D21_I1_18	CM_D21_M0_18	CM_D21B_I12_18	CM_D24_I1_18	CM_D24_M0_18	CM_D26_M0_18	CM_D26A_I13_18	CM_D26AB_I1_18	CM_D26K_I12_18	CM_D33_I1_18	CM_D33_M0_18	CM_D39_I1_18	CM_D39_M0_18	CM_D40_I1_18	CM_D40_M0_18	CM_D43_I1_18	CM_D43_M0_18	CM_D48_M0_18	CM_D50_I1_18	CM_D50_M0_18
s__Firmicutes_bacterium_CAG_238	0	0.00864	0.659	0.0	0.0	0.0881	0.08551	0.0	0.09676	0.0	0.51576	0.0	0.71135	0.0	0.19856	0.0	0.07758	0.04261	0.92839	0.0	0.80298	0.08238	0.0	0.01516	0.56185	0.0	0.31719	0.00534	0.0	0.00323	0.15397	0.18972	0.2674	0.0	0.07154	0.0123	0.01906	0.0035	0.00869	0.0	0.0	0.49091	0.0	0.99358	0.0	0.70408	0.26535	0.0	0.0	0.0	0.40938
s__Micrococcus_luteus	0	0.00842	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06721	0.0	0.0	0.0	0.0	0.0	0.00908	0.0	0.0	0.0	0.0	0.01836	0.0	0.0	0.0	0.0	0.00205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00634	0.0	0.0	0.0
s__Anaerotruncus_colihominis	0	0.00763	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00208	0.0	0.0	0.0	0.0	0.0	0.0494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_petauri	0	0.00753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Psychrobacter_pasteurii	0	0.00673	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lawsonibacter_asaccharolyticus	0	0.0067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Enorma_massiliensis	0	0.00593	0.01545	0.00078	0.00322	0.00336	0.0	0.00114	0.01139	0.0	0.01276	0.0	0.0261	0.0	0.00038	0.00091	0.01616	0.0	0.00249	0.00556	0.00793	0.0	0.003	0.00414	0.00612	0.00188	0.00249	0.0	0.0	0.00559	0.01596	0.01611	0.0069	0.0	0.0099	0.00201	0.00256	0.0	0.0	0.0	0.0	0.00909	0.06467	0.01291	0.00279	0.01159	0.0	0.00348	0.00063	0.00394	0.00304
s__Bacteroides_dorei	0	0.00588	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01852	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28152
s__Bacteroides_pectinophilus	0	0.00569	0.0	0.0	0.0	0.02758	0.31102	0.0	0.02491	0.13015	0.0	0.0	0.0	0.14676	0.01171	0.00135	0.69933	0.02521	0.0099	0.02218	1.60789	0.0	0.0	0.0	0.5183	0.0	0.0	0.0025	0.0	0.519	0.02835	0.00371	0.01735	0.0	0.0193	0.0	0.01579	0.06028	0.00817	0.0	0.0	0.02536	0.0	0.0	0.0	0.12043	0.08208	0.0	0.0	0.0	1.42518
s__Bacteroides_thetaiotaomicron	0	0.00553	0.0	0.20871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01591	0.0	0.30829	0.18403	0.0	0.0	0.0	0.0	0.48566	0.0	0.0	0.0	0.08784	0.0	0.0	0.0	0.01496	0.24392	0.0	0.0	0.01493	0.01315	0.0	0.0	0.0	0.02327	0.0	0.00072	0.04045	0.0	0.0	0.15148	0.0	0.0	0.0	0.0	0.11724	0.00333	0.0	0.0
s__Faecalicoccus_pleomorphus	0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0016	0.0
s__Bacteroides_stercoris	0	0.00363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.14113	0.0	0.0	0.03215	0.06075	0.0	0.0	0.0	0.1379	0.0	0.0	0.0	0.0	0.0	0.23822	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_167	0	0.00331	0.38049	0.0	0.00565	0.03185	0.05672	0.0	0.0175	0.08821	0.03093	0.0	0.02941	0.18881	0.12754	0.0	0.00196	0.0	0.08175	0.24139	0.17801	0.0	0.08533	0.0	0.09649	0.0	0.01756	0.00302	0.0	0.6814	0.286	0.60143	0.68115	0.0	0.37535	0.0058	0.0	0.0236	0.01668	0.0	0.0	0.31549	0.0	0.09762	0.0	0.2236	0.03228	0.0	0.12586	0.0	0.04365
s__Eubacterium_ventriosum	0	0.00317	0.0	0.0	0.00709	0.0	0.0	0.13306	0.0	0.03953	0.00116	0.0	0.0	0.10504	0.00513	0.0	0.0	0.0	0.08923	0.0	0.0	0.0	0.00696	0.0	0.00047	0.0	0.0	0.0	0.0	0.00189	0.0	0.0	0.0	0.0	0.00148	0.0	0.03569	0.00951	0.01519	0.0	0.0	0.11415	0.0	0.0	0.0	0.0	0.0	0.0	0.00457	0.0	0.0
s__Butyricimonas_virosa	0	0.00306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00513	0.0	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.00952	0.0	0.69211	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05187	0.0	0.0	0.0	0.0	0.0	0.05171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Brachybacterium_muris	0	0.00264	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_innocuum	0	0.0026	0.0	0.01028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3674	0.0	0.0	0.0	0.68222	0.0	0.0	0.0	0.0	0.00123	0.0
s__Ralstonia_pickettii	0	0.0017	0.0151	0.00692	0.0044	0.0	0.00364	0.00219	0.04739	0.00302	0.0278	0.0055	0.0	0.0013	0.00397	0.00035	0.0185	0.0	0.0	0.00736	0.00573	0.00527	0.02534	0.0	0.0	0.0	0.00132	0.00806	0.0	0.01871	0.01157	0.00486	0.0	0.0162	0.01019	0.0	0.00509	0.01313	0.0	0.0	0.02462	0.0	0.0	0.02211	0.00169	0.00486	0.00156	0.01216	0.00687	0.00286	0.01786
s__Firmicutes_bacterium_CAG_110	0	0.00156	1.71335	0.0	0.01507	0.32573	0.3301	0.03356	0.09968	0.05613	1.97701	0.0	1.73531	0.0	0.22525	0.00183	0.21549	0.00076	0.11032	0.02524	0.50293	0.05347	0.03167	0.0	0.09877	0.0	0.46988	0.01205	0.0	0.00394	0.0789	0.48989	0.4648	0.0	1.05903	0.08406	0.06353	0.0	0.12315	0.0	0.0	0.48814	0.0	1.29982	0.0	0.2856	0.1069	0.0	0.01215	0.0	0.62578
s__Aeriscardovia_aeriphila	0	0.00133	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00222	0.00091	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.00547	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00494	0.00205	0.0	0.00217	0.0	0.00263	0.01132	0.00219	0.0	0.0	0.0028	0.0
s__Lactococcus_lactis	0	0.00101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13483	0.0	0.0	0.0
s__Corynebacterium_kroppenstedtii	0	0.00086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
