clade_name	NCBI_tax_id	Ahn.Mel01	Ahn.Mel04	Ahn.Mel07	Ahn.Mel10	Ahn.Mel13	Ahn.Mel16	Ahn.Mel19	Ahn.Mel22	Ahn.Mel25	Ahn.Mel26	Ahn.Mel27	Ahn.Mel28	Ahn.Mel29	Ahn.Mel30	Ahn.Mel31	Ahn.Mel32	Ahn.Mel34	Ahn.Mel35	Ahn.Mel37	Ahn.Mel38	Ahn.Mel40	Ahn.Mel42	Ahn.Mel43	Ahn.Mel44	Ahn.Mel45	Ahn.Mel46	Ahn.Mel47
s__Eubacterium_siraeum	0	0.08359	4.12758	0.0031	8.92989	0.11278	9.14121	0.02564	0.00203	0.0	0.0	0.02596	0.04322	12.01964	0.0	2.2359	0.0	0.0	12.18971	15.39609	0.0	2.12161	0.0	0.00131	0.60085	0.85235	1.30501	0.0
s__Clostridium_sp_CAG_242	0	0.08261	0.0	0.01167	0.01529	0.0	0.03033	0.0	0.01341	0.0	0.0	0.01995	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0072	0.0	0.0	0.0	0.0
s__Proteobacteria_bacterium_CAG_139	0	0.08013	0.0	0.01204	0.0	0.02324	0.09015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24491	0.04841	0.0	0.01392	0.0	0.03813	0.0	0.14715	0.04056	0.87187	0.03399
s__Eubacterium_hallii	0	0.05754	0.05503	0.0	0.02848	0.08104	0.0	0.16482	0.01341	0.06313	0.00394	0.01288	0.0	0.08138	0.0	0.06156	0.00359	0.0	0.0	0.10109	0.0	0.05838	0.11183	0.03722	0.03564	0.13468	0.35801	0.0
s__Blautia_obeum	0	0.05118	0.03221	0.1446	0.0036	0.0969	0.00655	0.27384	0.01295	0.0	0.0532	0.21812	0.0	0.05404	0.0	0.15045	0.16484	0.00517	0.0	0.05648	0.11686	0.12973	0.07614	0.06693	0.03414	0.55372	0.24116	1.36243
s__Bacteroides_thetaiotaomicron	0	0.05014	0.0	1.15961	1.11326	1.42749	5.32355	0.60031	0.0	0.49427	0.05285	0.0002	0.0	2.01039	0.0	2.18409	1.02048	0.45352	2.13275	0.0	0.14167	0.17603	0.47954	5.04321	1.31614	4.00952	0.0	0.49827
s__Bacteroides_clarus	0	0.04654	0.0	2.13082	1.49107	0.0	0.0	0.0	0.0	0.0	0.0	0.00262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00636	0.0	3.90129	0.0	0.0	0.0	0.67857
s__Fusobacterium_sp_CAG_439	0	0.03898	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Rothia_mucilaginosa	0	0.03665	0.0	0.0	0.0115	0.02529	0.0	0.0	0.0	0.00208	0.0	0.01225	0.0	0.00305	0.1708	0.00631	0.0	0.01151	0.0	0.0	0.0	0.07957	0.01834	0.0	0.0	0.0	0.00354	0.0
s__Ruminococcus_lactaris	0	0.0345	2.80826	0.0	0.30816	1.47105	0.0	0.0	0.0	0.63948	0.0	3.41219	0.0	0.0	0.0	0.0	0.43005	0.0	0.0	0.0	0.0	0.531	0.91641	0.0	0.04398	0.00053	0.17535	0.0
s__Akkermansia_muciniphila	0	0.03407	1.41417	0.0	1.18859	0.0	0.0	0.0	0.19793	0.0	0.0	2.12169	0.0	0.37991	0.00023	0.84784	0.02651	0.00734	13.63684	0.59161	2.10867	7.69214	0.00058	0.856	5.23218	0.91156	4.8081	0.0
s__Alistipes_indistinctus	0	0.03189	0.0	0.03349	0.00188	0.0	0.0	0.0	0.44467	0.0	0.0	0.10799	0.0	0.04698	0.0	0.03448	0.03144	0.00737	0.0	0.0	0.08275	0.24581	0.02897	0.04908	0.0	1.36078	0.27362	0.15722
s__Alistipes_shahii	0	0.02824	1.13523	0.05676	0.57492	0.25268	0.0	0.0	0.75336	0.00081	0.06964	0.0	0.0	0.11643	0.0	0.0	0.29259	0.17117	0.50184	0.0	0.02549	0.54188	0.0	0.01268	0.67139	0.0	0.70218	0.19525
s__Roseburia_faecis	0	0.02586	1.43722	0.0	0.0058	1.29049	0.0102	0.02628	0.00239	2.09909	0.01017	28.12108	0.00979	1.54824	0.01088	0.00526	0.02303	0.0	0.0	0.0	0.0	1.6631	9.10812	0.07519	2.67187	0.01019	2.09629	0.0
s__Bacteroides_stercoris	0	0.0252	0.02459	0.0328	0.09536	0.10889	0.07523	22.83423	7.01624	9.19181	15.9068	0.01675	0.00982	4.94577	2.36475	13.00958	0.08873	8.2131	0.0	0.0	1.04109	0.33614	2.78683	0.0016	2.8647	0.00951	0.44757	0.0
s__Adlercreutzia_equolifaciens	0	0.02338	0.0335	0.03022	0.02038	0.07055	0.04753	0.0	0.02863	0.0	0.33405	0.3236	0.0	0.01539	0.0	0.01123	0.00869	0.1109	0.76453	0.01277	0.0292	0.0	0.01089	0.00388	0.0	1.17018	0.08859	0.0
s__Clostridium_citroniae	0	0.02183	0.05233	0.01584	0.0	0.01881	0.02329	0.01367	0.0	0.05763	0.01766	0.03663	0.00664	0.0	0.09218	0.00526	0.00602	0.0	0.0	0.0	0.0	0.0	0.0	0.00747	0.00783	0.00456	0.0	0.00164
s__Asaccharobacter_celatus	0	0.02131	0.07348	0.04386	0.00857	0.15424	0.04185	0.0	0.03571	0.0	0.2298	0.34695	0.0	0.01823	0.0	0.00522	0.02318	0.08018	0.29918	0.02684	0.01675	0.0	0.04883	0.00501	0.0	0.82472	0.03625	0.0
s__Bifidobacterium_longum	0	0.01873	0.0	7.29397	0.0082	0.77939	0.00709	0.60717	2.04952	0.0	0.00037	0.6479	5.3212	0.4826	0.00611	0.03974	0.17223	0.2318	4.72792	0.0	0.0	0.0	0.04477	0.0	1.96332	0.00638	0.0	0.31185
s__Lactobacillus_rogosae	0	0.0186	0.0	0.0	0.00642	0.0	0.04611	0.02106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00177	0.0	0.0	0.0	0.0	0.13876	0.0	0.0	0.0	0.0	0.00161	0.0
s__Butyricimonas_virosa	0	0.01288	0.0467	0.06826	0.87018	0.26196	0.0	0.05791	0.03533	0.00122	0.0	0.0	0.0	0.04083	0.31291	0.0	0.29559	0.0	0.08559	0.04523	0.02319	0.04444	0.0	0.15447	0.0	0.0	0.04785	0.6069
s__Holdemania_filiformis	0	0.01254	0.0	0.0	0.0	0.0	0.0	0.03734	0.02486	0.01438	0.16914	0.0	0.00426	0.01797	0.0	0.0	0.0	0.00528	0.0	0.0	0.0	0.0	0.0	0.01734	0.06349	0.00332	0.0	0.0
s__Eubacterium_ramulus	0	0.01244	0.0	0.0	0.03226	0.24051	0.0	0.0	0.093	0.51519	1.53361	0.0	0.0	0.205	0.0	0.0572	0.33286	0.0	0.0	0.0	0.43752	0.02242	0.02886	0.00405	0.0	0.0	0.04028	0.0
s__Streptococcus_mitis	0	0.01125	0.0	0.0	0.00037	0.0	0.0	0.01431	0.0	0.00053	0.00693	0.0	0.0	0.0	0.05933	0.0	0.0	0.03414	0.0	0.0	0.0	0.02345	0.0082	0.0046	0.00567	0.00564	0.0017	0.0
s__Bacteroides_cellulosilyticus	0	0.00963	0.48284	0.01275	0.0	0.0	0.00491	0.07106	2.04156	0.0	0.0	0.23279	0.0	0.0	0.08284	0.00378	0.04615	0.0	0.0	0.25595	0.01753	0.0	0.01163	2.26062	1.7464	0.0	2.00473	0.26701
s__Parabacteroides_goldsteinii	0	0.00951	0.0	0.0	2.73628	0.02878	2.97351	0.0	0.06901	0.0	0.0	0.01389	0.0	0.58699	1.36635	0.0	0.0	0.0	0.0	0.0	0.0	0.20917	0.0	0.0	0.0	0.0	0.29818	0.78885
s__Bacteroides_plebeius	0	0.00946	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.15056	0.0044	0.0063	0.00128	1.33428	21.46557	0.0	0.0	0.0	0.0	0.0	1.96853	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_lavalense	0	0.00717	0.02436	0.0075	0.02019	0.00032	0.04261	0.00784	0.00076	0.0	0.00447	0.15934	0.00639	0.0	0.01556	0.02541	0.0	0.0	0.0	0.06408	0.0	0.0	0.0	0.00222	0.0	0.11127	0.0	0.08692
s__Paraprevotella_xylaniphila	0	0.00704	0.61785	0.0	0.07692	0.0	0.0	0.0	0.0	0.92758	0.0	0.0	0.0	0.78039	0.0	0.0	0.0	0.0	0.0	1.22577	0.0	0.58748	0.0	0.0	0.0	0.0	0.0	0.0
