clade_name	NCBI_tax_id	TRAVELRES1	TRAVELRES10	TRAVELRES11	TRAVELRES12	TRAVELRES13	TRAVELRES14	TRAVELRES15	TRAVELRES16	TRAVELRES17	TRAVELRES18	TRAVELRES19	TRAVELRES2	TRAVELRES20	TRAVELRES21	TRAVELRES22	TRAVELRES23	TRAVELRES24	TRAVELRES25	TRAVELRES26	TRAVELRES27	TRAVELRES28	TRAVELRES29	TRAVELRES3	TRAVELRES30	TRAVELRES31	TRAVELRES32	TRAVELRES33	TRAVELRES34	TRAVELRES35	TRAVELRES36	TRAVELRES37	TRAVELRES38	TRAVELRES39	TRAVELRES4	TRAVELRES40	TRAVELRES41	TRAVELRES42	TRAVELRES43	TRAVELRES44	TRAVELRES45	TRAVELRES46	TRAVELRES47	TRAVELRES48	TRAVELRES49	TRAVELRES5	TRAVELRES50	TRAVELRES51	TRAVELRES52	TRAVELRES53	TRAVELRES54	TRAVELRES55	TRAVELRES56	TRAVELRES57	TRAVELRES58	TRAVELRES59	TRAVELRES6	TRAVELRES60	TRAVELRES61	TRAVELRES62	TRAVELRES63	TRAVELRES64	TRAVELRES65	TRAVELRES66	TRAVELRES67	TRAVELRES68	TRAVELRES69	TRAVELRES7	TRAVELRES70	TRAVELRES8	TRAVELRES9
s__Escherichia_marmotae	0	0.0	0.00151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00252	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.40632
s__Leuconostoc_pseudomesenteroides	0	0.0	0.00131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00128	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00693	0.0	0.0	0.0	0.0	0.0	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00174
s__Rothia_mucilaginosa	0	0.0	0.00095	0.0	0.0	0.00923	0.00843	0.00362	0.00577	0.00748	0.00163	0.00031	0.00246	0.00175	0.0	0.0	0.00041	0.0	0.00124	0.00392	0.00203	0.00253	0.0	0.01751	7e-05	0.0	0.0	0.0	0.0	0.0	0.00117	0.00015	0.0	0.00059	0.00824	0.0	0.0	0.00325	0.0	0.0	0.02295	0.02169	0.00072	0.0	0.00847	0.00204	0.00119	0.0	0.00028	0.0	0.0	0.00336	0.02098	0.0	0.0	0.00197	0.0	0.00309	0.0006	0.00231	0.0022	0.0	0.0	0.0	0.00437	0.0	0.00831	0.00562	0.00138	0.0	0.0
s__Enorma_massiliensis	0	0.0	0.00069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00017	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016	0.00022	0.0	0.0	0.0	0.00064	0.00011	0.0	0.00028	0.0	0.00039	0.0	0.0	0.0	0.00195	0.0	0.00013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00034	0.00114	0.0	0.0	0.0	0.0	0.00022	0.0	0.00027	0.0	0.0	0.00036	0.0	0.00042	0.00015	0.0	0.0	0.0	0.0	0.00072	7e-05	0.0	0.0	0.00018	0.0	0.00266
s__Fretibacterium_fastidiosum	0	0.0	0.0005	0.0	0.00042	0.0	0.0	0.0	0.0006	0.0	0.00021	0.0008	0.00022	0.0	0.0	0.00058	0.0	0.0	0.0	0.00043	0.00078	0.0	0.0	0.00061	0.0	0.0	0.0	0.0	0.0	0.0	0.00085	0.00025	0.00067	0.00367	0.0	0.00028	0.00029	0.0	0.0	0.0	0.0	0.0009	0.00067	0.00053	0.00514	0.00044	0.00172	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00262	0.00064	0.0	0.0	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.00027	0.00058	0.0	0.00075
s__Bacteroides_nordii	0	0.0	0.00049	0.00054	0.0023	0.03397	0.2112	0.04242	0.18576	0.00366	0.00601	0.0	0.0	0.0072	0.0	0.0	0.0	0.0	0.00478	0.00258	0.0	0.01705	0.06097	0.00296	0.0	0.0	0.0	0.0	0.0	0.01518	0.0131	0.0	0.0	0.0	0.00115	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00381	0.18911	0.0	0.0	0.0	0.00942	0.01264	0.0	0.06557	0.021	0.03751	0.0	0.0	0.0	0.00586	0.00013	0.00154	0.0062	0.0	0.0	0.00397	0.0	0.0	0.0	0.0	0.00816	0.0	0.00043	7e-05
s__Bacteroides_galacturonicus	0	0.0	0.00047	0.0	0.0	0.0	0.0	0.01787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00611	0.02996	0.0	0.02276	0.00725	0.00072	0.04193	0.10105	0.1164	0.00813	0.0	0.00304	0.0	0.0	0.0	0.0	0.0	0.00023	0.14822	0.0	0.0	0.0	0.54287	0.17564	0.08398	0.01776	0.05485	0.00172	0.0	0.0	0.0	0.13205	0.37108	0.0	0.0	0.00527	0.01434	0.0	0.0	0.00168	0.0	0.01799	0.0004	0.0	0.00073	0.00532	0.48675	0.0	0.01072	0.0	0.00165	0.02518	0.0004	0.00673	0.0
s__Clostridium_spiroforme	0	0.0	0.00024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00818	0.0	0.0	0.0	0.00879	0.0	0.01225	0.01539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02668	0.0	0.00332	0.00249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03498	0.00312	0.00555	0.00956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0034
s__Actinomyces_sp_ICM47	0	0.0	0.00018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00198	0.0	0.0	0.0	0.00075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00293	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00014
s__Prevotella_sp_CAG_1320	0	0.0	0.0	20.71025	30.18827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_sp_CAG_1185	0	0.0	0.0	7.7672	13.66644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14305	0.27606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05993	0.03427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_sp_CAG_661	0	0.0	0.0	5.66675	0.15625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
