clade_name	NCBI_tax_id	P10E0	P10E7	P10E90	P11E0	P11E7	P11E90	P12E0	P12E7	P12E90	P13E0	P13E7	P13E90	P14E0	P14E7	P14E90	P15E0	P15E7	P15E90	P17E0	P17E7	P17E90	P18E0	P18E7	P18E90	P19E0	P19E7	P19E90	P1E0	P1E7	P1E90	P20E0	P20E7	P20E90	P21E0	P21E7	P21E90	P22E0	P22E7	P22E90	P23C0	P23C7	P23C90	P25C0	P25C7	P25C90	P2E0	P2E7	P2E90	P38C0	P38C7	P38C90	P3E0	P3E7	P3E90	P4E0	P4E7	P4E90	P5E0	P5E7	P5E90	P6C0	P6C7	P6C90	P7C0	P7C7	P7C90	P8C0	P8C7	P8C90	P9E0	P9E7	P9E90
s__Clostridium_lavalense	0	0.00414	0.01459	0.00228	0.0	0.04084	0.00276	0.17003	0.48765	0.15367	0.0	0.00035	0.0	0.0	0.03094	0.00032	0.00089	0.34608	0.0091	0.01649	0.03513	0.0033	0.02072	0.15318	0.00248	0.02228	0.28094	0.00197	0.0096	0.00553	0.0	0.03008	0.71507	0.0644	0.00191	0.26714	0.00049	0.00111	0.00346	0.0	0.0072	0.00465	0.00115	0.00088	0.0	0.00316	0.03702	0.08051	0.00095	0.00274	0.00627	0.00022	0.0	0.00896	0.0	0.00074	0.0	0.00519	0.00873	0.12278	0.0	0.02065	0.01438	0.00969	0.00224	0.00242	0.0	0.00314	0.0091	0.00259	0.001	0.15902	0.05975
s__Clostridium_leptum	0	0.00397	0.04131	0.00385	0.00153	1.21306	0.01413	0.0	0.01628	0.0	0.0097	0.00363	0.00018	0.00218	0.09715	0.00501	0.00961	0.00885	0.01864	0.00019	0.50814	0.00805	0.02661	0.05484	0.00039	0.03366	0.04208	5e-05	0.1794	0.15236	0.0161	0.0721	0.01151	0.22651	0.03446	0.00519	0.03197	0.00571	0.00618	0.14842	0.05761	0.24192	0.00995	0.00853	0.01178	0.00106	0.0	0.0	0.0	0.00618	0.00617	0.00243	0.00036	0.00293	0.00065	0.0	0.0	0.0	0.02731	0.06601	0.00354	0.06291	0.06213	0.01205	0.03786	0.00645	0.00699	0.00297	0.22797	0.08134	0.00294	0.43731	0.05783
s__Pseudoflavonifractor_sp_An184	0	0.00395	0.07102	0.0035	0.0	0.0	0.0	0.0	0.0	0.0	0.00336	0.00929	0.00625	0.0	0.00174	0.00083	0.0	0.0	0.0	0.00029	0.0	0.00747	0.0	0.0	0.0	0.0	0.0	0.00035	0.00522	0.00271	0.0	0.0	0.0	0.0	0.11929	0.09471	0.15072	0.00078	0.0	0.00116	0.00907	0.00681	0.00651	0.0	0.00051	0.00023	0.0	0.0	0.0008	0.00016	0.00048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02164	0.0216	0.03106	0.0	0.0	0.0	0.0	0.0	0.0	0.00019	0.0	0.01095
s__Bacteroides_sp_D2	0	0.00321	0.00409	0.00219	0.0	0.01908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00024	0.00254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00082	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Veillonella_parvula	0	0.00285	0.0	0.01489	0.0	0.0	0.00135	0.00261	0.0	0.0	0.02865	0.0	0.01157	0.0	0.0	0.0	0.09192	0.0	0.00743	0.00644	0.0	0.0004	0.03531	0.0	0.12693	0.0	0.0	0.0	0.0	0.0	0.01522	1.05864	0.0	0.0354	0.0	0.0	0.0	0.00624	0.0	0.01275	0.00225	0.0	0.0014	0.02961	0.19417	0.02786	0.01224	0.00319	0.0268	0.0	0.0	0.01772	0.03065	0.0	0.0294	0.03916	0.0	0.89813	0.00328	0.0	0.43401	0.00271	0.01036	0.01852	0.0069	0.12241	0.44881	0.0	0.00059	0.00863	0.15025	0.0	0.00209
s__Alistipes_onderdonkii	0	0.00231	0.00717	0.00529	0.0	0.0	0.0	0.0	0.0	0.0	0.00184	0.0	0.00159	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0753	0.01159	0.05007	0.0	0.0	0.0	0.0	0.0	0.00718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6403	0.55513	1.40493	0.0411	0.09137	0.02029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06144	0.05159	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_ramulus	0	0.00223	0.0	0.0	0.01117	0.0	0.0792	0.07718	0.0	0.12169	0.00907	0.0	0.00244	0.00641	0.0	0.04911	0.02864	0.0	0.01854	0.0007	0.0	0.00254	0.0	0.0	0.0	0.01502	0.0	0.00319	0.0	0.0	0.02774	0.0	0.0	0.00979	0.01232	0.0	0.0	0.02973	0.0	0.0145	0.0	0.0	0.00355	0.00872	0.02887	0.0036	0.00224	0.0	0.0011	0.02317	0.03865	0.03257	0.05412	0.00788	0.01564	0.0	0.0	0.0	0.12453	0.0088	0.03125	0.01546	0.10183	0.01227	0.02156	0.00496	0.02067	0.005	0.00276	0.00822	0.0	0.0	0.0
s__Porphyromonas_asaccharolytica	0	0.0021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00065	0.0	0.0	0.0	0.0	0.00241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00178
s__Enorma_massiliensis	0	0.00203	0.00086	0.00153	0.0	0.0	0.00125	0.0	0.0	0.0	0.02974	0.23848	0.02398	0.00112	0.00082	0.00097	0.0	0.0	0.0	0.0	0.0	0.0	0.00164	0.0	0.00011	0.0	0.0	0.00026	2.28795	1.21138	0.01989	0.0	0.0	9e-05	0.0	0.0	0.00159	0.0	0.0	0.0	0.00201	0.00111	0.00122	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.00048	0.0029	0.00237	0.0	0.00207	0.00023	0.0	0.0	0.0	0.0	0.0	0.00038
s__Enterorhabdus_caecimuris	0	0.00127	0.0	0.00187	0.0	0.0	0.00222	0.0	0.0	0.0003	0.0	0.00015	0.00066	0.0	0.0	0.0	0.0	0.0	0.00044	0.0	0.0	0.0	0.00157	0.00026	0.00024	0.00034	0.0	0.0	0.00191	0.0017	0.00227	0.0	0.0	0.0	0.00132	0.00031	0.00654	0.00195	0.00088	0.00166	7e-05	0.00143	0.0	0.00158	0.00046	0.0	0.01293	0.01122	0.0	0.0007	0.00282	0.00343	0.0038	0.02024	0.00242	0.00689	0.0	0.0	0.0	0.0	0.0	0.00982	0.01487	0.00356	0.00431	0.00803	0.00954	0.00225	0.00289	0.00207	0.0	0.0	0.00063
