clade_name	NCBI_tax_id	M01.1-V1-stool	M01.1-V2-stool	M01.1-V3-stool	M01.2-V1-stool	M01.2-V2-stool	M01.2-V3-stool	M01.3-V1-stool	M01.3-V2-stool	M01.3-V3-stool	M01.4-V1-stool	M01.4-V2-stool	M01.4-V3-stool	M01.5-V2-stool	M01.5-V3-stool	M02.1-V1-stool	M02.1-V2-stool	M02.1-V3-stool	M02.2-V1-stool	M02.2-V2-stool	M02.2-V3-stool	M02.3-V1-stool	M02.3-V2-stool	M02.3-V3-stool	M02.4-V1-stool	M02.4-V2-stool	M02.4-V3-stool	M02.5-V1-stool	M02.5-V2-stool	M03.1-V2-stool	M03.1-V3-stool	M03.3-V1-stool	M03.3-V2-stool	M03.3-V3-stool	M03.4-V1-stool	M03.4-V2-stool	M03.4-V3-stool	M03.5-V1-stool	M03.5-V2-stool	M04.1-V1-stool	M04.1-V3-stool	M04.2-V1-stool	M04.2-V2-stool	M04.2-V3-stool	M04.3-V1-stool	M04.3-V3-stool	M04.4-V1-stool	M04.4-V3-stool	M04.5-V1-stool	M04.5-V2-stool	M04.5-V3-stool	M04.6-V1-stool	M04.6-V2-stool	M04.6-V3-stool
s__Firmicutes_bacterium_CAG_145	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00418	0.0	0.01159	0.0	0.0	0.0	0.0	0.0	0.01795	0.00666	0.00134	0.00766	0.00577	0.03145	0.00558	0.01021	0.00291	0.0	0.0	0.0	0.0	0.0	0.04445	0.03713	0.0	0.0	0.0	0.0	0.02454	0.01145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Propionibacterium_freudenreichii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00337	0.00096	0.0	0.0	0.03507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03606	0.0025	0.0	0.0	0.0	0.0	0.00281	0.01334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Carnobacterium_divergens	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eisenbergiella_tayi	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00478	0.00055	0.0	0.0	0.0	0.0	0.00142	0.0	0.0	0.0	0.0	0.0	0.00298	0.0	0.0	0.0	0.01182	0.0	0.0088	0.0152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parvimonas_micra	0	0.0	0.0	0.0	0.0	0.0	0.0	0.00044	0.00574	0.00284	0.00259	0.00345	0.00038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00076	0.0	0.0	0.0	0.0	0.01137	0.15386	0.00491	0.02013	0.01207	0.01835	0.0	0.01652	0.0	0.0	0.02031	0.0	0.0	0.0
s__Terrisporobacter_othiniensis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_vestibularis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03198	0.00807	0.0	0.0	0.18644	0.0	0.0	0.00298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00211	0.0
s__Streptococcus_gordonii	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01472	0.0	0.0	0.0	0.0
s__Streptococcus_oralis	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01311	0.0	0.01325	0.02438	0.00748	0.0	0.0	0.0	0.0	0.0	0.0	0.0013	0.00795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12395	0.0065	0.0	0.00696	0.0	0.0	0.0	0.0	0.0	0.01562	0.00333	0.0	0.00334	0.0
s__Actinomyces_sp_ICM47	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01213	0.00938	0.0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00088	0.0	0.0
