model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max
phylodiva-tree-dtm-vae	ThomasAM_2019_c	0.7925	0.33350645053569		0.0142521928137392	0.0043151857761318		1570	80				
phylodiva-tree-dtm-vae	HanniganGD_2017	0.3634174467507801	0.2237569401626211		0.0142604500937705	0.0089351438751848		1569	81				
phylodiva-tree-dtm-vae	GuptaA_2019	0.49	0.2104211476236748		0.0278886675511358	0.0130528489814348		1590	60				
phylodiva-hyp-philr-nb	FengQ_2015	0.4995743669846276	0.2830110194257256		0.0061221535543952	0.0042813983828454		1496	154				
phylodiva-hyp-philr-nb	VogtmannE_2016	0.3692307692307692	0.2286481265768253		0.0035110420352895	0.0026981358726141		1540	110				
phylodiva-hyp-philr-nb	ZellerG_2014	0.4715925549516641	0.2438286122646858		0.0029515321596659	0.0019210306555186		1494	156				
phylodiva-hyp-philr-nb	YuJ_2015	0.6088588588588589	0.2711434079435436		0.0222166698056682	0.0086213343319863		1522	128				
phylodiva-hyp-philr-nb	WirbelJ_2018	0.5824358974358974	0.2669989756274544		0.008737722672507	0.0020561009180775		1525	125				
phylodiva-hyp-philr-nb	YachidaS_2019	0.3188915747400309	0.2352921245201933		0.0022104053680936	0.0025594746870739		1034	616				
phylodiva-hyp-philr-nb	ThomasAM_2018a	0.4562047679863772	0.2393656291027119		0.0081276641515695	0.0045440119742199		1570	80				
phylodiva-hyp-philr-nb	ThomasAM_2018b	0.6794642857142857	0.2801626619282357		0.0157520346110512	0.0027585140868512		1590	60				
phylodiva-hyp-philr-nb	ThomasAM_2019_c	0.965	0.3864794499140491		0.0136930639376291	0.0048932153522886		1570	80				
phylodiva-hyp-philr-nb	HanniganGD_2017	0.3667345000678333	0.2191948218118412		0.0134027497522741	0.0079788778710088		1569	81				
phylodiva-hyp-philr-nb	GuptaA_2019	0.6766666666666667	0.2810499657604191		0.0091287092917527	0.0048809122670831		1590	60				
phylodiva-beta-vae	FengQ_2015	0.3944414956804821	0.2134810078359335		0.0076529843244385	0.0033778945914656		1496	154				
phylodiva-beta-vae	VogtmannE_2016	0.4038461538461539	0.2529640261164032		0.0078509286627665	0.0049098570569544		1540	110				
phylodiva-beta-vae	ZellerG_2014	0.394741725951129	0.1979362800103809		0.0071248113718061	0.0043568461072155		1494	156				
phylodiva-beta-vae	YuJ_2015	0.5968468468468469	0.2530688486653283		0.0065472850109865	0.0028723756673837		1522	128				
phylodiva-beta-vae	WirbelJ_2018	0.5323076923076924	0.2332205423995849		0.021594097861659	0.0084037642011362		1525	125				
phylodiva-beta-vae	YachidaS_2019	0.3231287046653142	0.2413944777868157		0.0011156976129579	0.0007964786908084		1034	616				
phylodiva-beta-vae	ThomasAM_2018a	0.5192528735632184	0.2462583053152011		0.0051403861551719	0.0031977818167926		1570	80				
phylodiva-beta-vae	ThomasAM_2018b	0.546875	0.2115266315221741		0.0126269068069025	0.0041485738630274		1590	60				
phylodiva-beta-vae	ThomasAM_2019_c	0.95	0.3848101265822785		0.0	0.0		1570	80				
phylodiva-beta-vae	HanniganGD_2017	0.3948514448514448	0.2347741598794897		0.0237169716465816	0.0137461034583677		1569	81				
phylodiva-beta-vae	GuptaA_2019	0.5866666666666667	0.2559783627839885		0.0074535599249993	0.0026254126310101		1590	60				
taxi-tree-dtm-vae	FengQ_2015	0.4351950986487921	0.2435547237229403		0.0160789171596492	0.0090022790742904		1496	154				
taxi-tree-dtm-vae	VogtmannE_2016	0.3756410256410256	0.2250859567962682		0.0229340305384594	0.014117746965707		1540	110				
taxi-tree-dtm-vae	ZellerG_2014	0.3753096784646429	0.2015270331477451		0.0108212447247975	0.0083076410519558		1494	156				
taxi-tree-dtm-vae	YuJ_2015	0.5941941941941942	0.2513263149845842		0.0068821093783492	0.00242287721702		1522	128				
taxi-tree-dtm-vae	WirbelJ_2018	0.5776923076923077	0.2379950198818711		0.0188116726251535	0.007339977367007		1525	125				
taxi-tree-dtm-vae	YachidaS_2019	0.2888659984613207	0.2135349930656519		0.0027999065031769	0.0046395458191391		1034	616				
taxi-tree-dtm-vae	ThomasAM_2018a	0.4495210727969348	0.2501785878624182		0.0138033298281298	0.0085689380295941		1570	80				
taxi-tree-dtm-vae	ThomasAM_2018b	0.4977678571428571	0.1996581559618548		0.0346162107573009	0.0116970022832275		1590	60				
taxi-tree-dtm-vae	ThomasAM_2019_c	0.5975	0.2584969624568168		0.0418330013267037	0.0161761605828265		1570	80				
taxi-tree-dtm-vae	HanniganGD_2017	0.3993487993487993	0.2329443085855008		0.0240299596245148	0.0146499668966214		1569	81				
taxi-tree-dtm-vae	GuptaA_2019	0.5	0.2298186296462158		0.0235702260395515	0.0082828954691661		1590	60				
