clade_name	NCBI_tax_id	JAS_1	JAS_10	JAS_2	JAS_3	JAS_4	JAS_5	JAS_6	JAS_7	JAS_8	JAS_9	KHG_1	KHG_10	KHG_11	KHG_12	KHG_2	KHG_3	KHG_4	KHG_5	KHG_6	KHG_7	KHG_8	KHG_9	LDK_1-2	LDK_2	LDK_3	LDK_4	LDK_5	LDK_6	LDK_7	LDK_8	LDK_9
s__Holdemanella_biformis	0	0.39467	0.0	0.97603	0.0	0.51623	0.22824	0.49748	0.3033	1.3918	0.0	0.0	0.0	0.0	0.04312	0.08459	0.21939	0.07475	0.00653	0.0	0.01905	0.65871	0.05454	0.12051	0.06557	0.04501	0.08349	0.19964	0.06931	0.70431	0.2495	0.07548
s__Ruminococcus_bromii	0	0.382	0.0	3.3186	0.0	0.47608	0.10593	0.74134	0.5462	3.00592	0.11579	0.0	1.53296	0.62967	0.05835	0.0	0.0	0.0	0.10142	3.89975	1.23881	0.0	1.54904	0.80487	0.0	0.03476	0.37646	3.6152	0.02682	2.26639	0.0	0.0
s__Prevotella_sp_CAG_279	0	0.37713	0.34384	1.88683	0.02531	0.0	0.0	1.71394	0.92706	2.30231	0.16058	0.00486	0.0	0.0	0.2397	0.19788	0.36796	0.31197	0.3756	1.14646	0.77778	0.0	2.10222	0.88908	1.59634	0.96957	0.0	9.82864	0.30269	0.71679	0.28461	0.04403
s__Bifidobacterium_angulatum	0	0.35102	6.36829	13.97332	0.2584	4.10158	6.6112	5.64144	0.40814	0.00285	22.18085	0.02109	5.41718	1.51632	5.60691	0.01716	0.19733	0.03271	5.35232	4.53897	3.82908	0.0	1.81182	0.0	0.0	0.33111	1.98023	2.16373	0.21759	3.55692	0.0	0.0
s__Bacteroides_sp_CAG_530	0	0.31107	0.0	0.0	0.11094	0.0	0.0	0.11657	0.10497	0.0	0.0	0.0	0.0	0.0	0.0	0.20271	0.0	0.34228	0.0	0.0	0.0	0.0	0.0	0.25899	0.0	0.0	0.0	0.0	0.1107	0.0	0.0	0.0
s__Lactobacillus_mucosae	0	0.27932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17898	0.0	0.00016	0.01249	0.02774	0.0	0.0	0.0	0.0	0.07943
s__Firmicutes_bacterium_CAG_534	0	0.2658	0.0	0.90804	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00914	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_siraeum	0	0.23643	0.0	0.11299	0.0	0.00234	0.0	0.04558	0.07207	0.19852	0.00607	0.0101	6.76512	0.0	0.0	0.0	0.0	0.0	0.01211	0.09702	0.02103	0.0	0.15668	0.03716	0.01657	0.0	0.00346	0.02509	0.0	0.11418	0.0	0.0
s__Firmicutes_bacterium_CAG_110	0	0.22988	0.0	0.05923	0.0	0.00043	0.0	0.04331	0.0	0.03984	0.00113	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36107	0.0	0.0	0.0109	0.00924	0.0069	0.0	0.11117	0.0	0.05842	0.00994	0.0
s__Butyrivibrio_crossotus	0	0.22716	0.0	0.0	0.00035	0.04897	0.01123	0.15193	0.0	1.44694	0.0	0.0	0.0	0.0	0.00439	0.0	0.0	0.0	0.54198	0.0	1.50923	0.0	0.0	0.06169	0.00393	0.16052	0.02997	0.0	0.19301	0.0	0.0	0.0
