clade_name	NCBI_tax_id	M_C100	M_C101	M_C105	M_C106	M_C109	M_C110	M_C111	M_C114	M_C115	M_C117	M_C118	M_C119	M_C120	M_C123	MV_C101	MV_C106	MV_C111	MV_C112	MV_C113	MV_C114	MV_C115	MV_C117	MV_C118	MV_C120	V1_C101	V1_C106	V1_C109	V1_C110	V1_C111	V1_C113	V1_C115	V1_C118	V1_C120	V2_C100	V2_C101	V2_C105	V2_C106	V2_C109	V2_C110	V2_C111	V2_C112	V2_C114	V2_C115	V2_C116	V2_C117	V2_C118	V2_C119	V2_C120	V3_C100	V3_C101	V3_C105	V3_C106	V3_C110	V3_C111	V3_C112	V3_C113	V3_C114	V3_C115	V3_C116	V3_C117	V3_C118	V3_C119	V3_C120
s__Escherichia_coli	0	0.89515	1.10902	0.0096	0.0	31.301	0.0	0.29274	0.30301	1.92616	0.0	1.72125	0.00106	2.35887	0.00485	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	99.99378	38.61748	10.22395	93.02594	0.0	0	1.26269	0.0	0.0	0.0	25.21579	71.02065	86.05713	13.45884	10.74335	0.00593	92.66303	0.0	0.0	0.0	0.00106	0.0	0.08746	0.0	0.0	20.27918	64.10021	1.04594	4.9921	33.0039	0.0	99.74834	0.01422	0.0	0.0	0.0	0.0	0.0
s__Flavonifractor_plautii	0	0.83063	0.14229	0.18703	0.39266	6.42169	0.16378	2.59112	0.97353	1.96462	0.28758	0.33639	0.02619	0.80225	0.02276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59176	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_vulgatus	0	0.74745	28.90633	0.00223	1.20856	0.00339	3.60189	1.24343	3.06068	0.89697	4.32824	0.91408	7.01172	0.64469	2.90404	0.0	0.0	0.0	2.03817	0.0	0.0	0.0	0.0	0.0	0.0	1.77894	0.0	0.0	33.22813	0.0	2.01555	0	3.40519	0.0	87.51921	0.0	0.0	17.13496	0.0	9.97784	0.01214	0.00131	0.0	0.0	0.0	16.61984	0.00918	0.0	0.05222	80.43054	0.0	0.00142	6.82842	0.06398	0.01957	0.03947	0.0	0.0	0.0	0.0	1.45552	0.0	0.0	0.0
s__Dorea_longicatena	0	0.70385	0.63601	2.13464	0.59306	0.0	1.38993	0.35338	0.5755	0.56894	1.45276	0.16403	1.45767	0.17046	0.8407	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Pseudomonas_yamanorum	0	0.64556	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00678	0.00446	0.01994	0.0	0.00574	0.0	0.8062	6.28087	6.34039	0.08674	3.66061	1.17399	19.3682	2.12739	0.0	0.03304	45.10952	0.0	0.0	0.0	0.01881	49.39438	0	0.30889	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04816	0.01828	0.0	0.04385	0.0	0.03963	0.15331	0.00834	0.02495	0.03765	0.02698	0.06489	0.02931	0.0	0.0177
s__Brachyspira_sp_CAG_700	0	0.60338	0.0	0.0	1.15423	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_eligens	0	0.54784	0.0	0.00878	0.2984	0.0	0.40077	0.0	0.0	0.0	0.03165	0.27848	1.41815	0.0	0.05153	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Blautia_obeum	0	0.49368	0.5263	0.6897	0.03058	0.0	0.26927	0.03604	0.30593	0.03038	0.04361	0.09854	0.66944	0.07446	0.08961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Fusicatenibacter_saccharivorans	0	0.46845	0.10574	3.74721	1.99303	0.0	3.08214	3.06488	0.71888	0.27025	8.31446	0.50551	2.66955	0.64904	7.05478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dielma_fastidiosa	0	0.37108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
