clade_name	NCBI_tax_id	YEZ_BA1	YEZ_BA10	YEZ_BA11	YEZ_BA12	YEZ_BA13	YEZ_BA15	YEZ_BA16	YEZ_BA17	YEZ_BA18	YEZ_BA19	YEZ_BA2	YEZ_BA20	YEZ_BA21	YEZ_BA22	YEZ_BA3	YEZ_BA4	YEZ_BA5	YEZ_BA6	YEZ_BA7	YEZ_BA8	YEZ_N-1	YEZ_N-10	YEZ_N-11	YEZ_N-12	YEZ_N-13	YEZ_N-14	YEZ_N-15	YEZ_N-16	YEZ_N-17	YEZ_N-18	YEZ_N-19	YEZ_N-2	YEZ_N-20	YEZ_N-21	YEZ_N-22	YEZ_N-23	YEZ_N-24	YEZ_N-25	YEZ_N-26	YEZ_N-27	YEZ_N-28	YEZ_N-29	YEZ_N-3	YEZ_N-30	YEZ_N-31	YEZ_N-32	YEZ_N-33	YEZ_N-34	YEZ_N-35	YEZ_N-36	YEZ_N-37	YEZ_N-38	YEZ_N-39	YEZ_N-4	YEZ_N-40	YEZ_N-41	YEZ_N-42	YEZ_N-43	YEZ_N-44	YEZ_N-45	YEZ_N-46	YEZ_N-47	YEZ_N-48	YEZ_N-8	YEZ_N-9
s__Turicimonas_muris	0	0.02005	0.0	0.0	0.0	0.04195	0.06745	0.0	0.03334	0.0	0.03588	0.0	0.0	0.0	0.00165	0.0641	0.12564	0.23619	0.0	0.09469	0.00158	0.0	0.0	0.0	0.0217	0.00635	0.21354	0.16446	0.0	0.0	0.0	0.00088	0.0	0.0	0.06681	0.00093	0.01714	0.0	0.00184	0.07868	0.01677	0.00381	0.07595	0.01353	0.0	0.0	0.00514	0.14368	0.0	0.0609	0.0	0.0	0.00835	0.01414	0.0	0.0	0.03242	0.05903	0.0	0.04266	0.00841	0.00968	0.0	0.0	0.00702	0.0
s__Bacteroides_ovatus	0	0.01983	15.44724	0.13194	0.05669	0.08558	0.50023	0.4905	0.00368	0.02343	0.01762	0.06462	0.38902	0.44233	0.03821	0.35296	0.43341	0.04372	0.09617	0.19203	0.06246	0.26736	0.07328	0.37475	0.98935	0.45711	1.34119	9.60503	0.72537	0.19907	0.01492	0.00608	0.30787	2.87111	0.90575	0.12999	0.44505	1.52781	3.51791	0.14398	1.76335	0.01291	2.19361	0.02517	0.01561	0.23695	0.18154	1.07104	0.00125	0.01851	0.38333	0.01312	0.12481	0.00241	0.00864	0.19475	0.0	0.1317	0.0324	1.11098	0.35342	0.27566	0.0	0.03189	0.01195	0.0
s__Roseburia_intestinalis	0	0.01902	0.0	0.0	0.7337	0.0	0.01133	0.0	0.0	0.09592	0.39521	0.0	0.02592	0.0	0.27307	0.0153	0.15461	0.48764	0.0	0.21548	0.0	0.0	0.10514	0.00459	0.57416	0.01268	0.247	0.00223	0.07551	0.00411	0.02883	0.04093	0.0	0.0	0.26634	0.25182	0.0	2.43048	0.94565	0.57493	0.65535	0.00431	0.0	0.36022	0.00195	0.16659	0.00554	0.13744	0.0	0.52163	0.01671	0.0	0.01576	0.02354	0.21579	0.02382	0.0	0.00056	0.0	0.0	0.08738	0.34732	0.0	0.00331	0.0	0.0
s__Prevotella_sp_CAG_520	0	0.01764	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00026	0.0	0.0	0.0	0.0	0.0142	0.01424	0.00819	0.01351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01362	0.68491	0.04459	0.0	0.0082	0.00225	0.0	0.00362	37.46285	0.07423	0.02197	0.0134	0.02624	0.00038	0.00737	0.00137	0.03909	0.0	0.0077	0.0	0.0	0.01309	0.0
s__Bacteroides_massiliensis	0	0.01577	0.0	5.31511	0.0	0.07148	0.92095	0.3181	0.0	0.0	0.0	0.00447	0.0	0.02909	0.0	1.85352	0.0	0.00989	0.00305	0.00349	0.0	0.0	0.0788	0.11585	0.0	0.07082	0.00218	0.0	0.0	0.0	0.17445	0.00399	6.20078	0.0	0.00408	0.0	0.0	0.0	4.4717	0.0	0.0	0.0	0.0	0.26638	0.0	0.75562	0.0	1.06878	0.0	1.10756	0.0	0.04329	3.91452	0.68856	0.01378	1.64701	0.0	0.0	1.58354	0.26876	0.0	0.00081	0.0	0.0	0.34198	0.37848
s__Clostridium_bolteae	0	0.01432	0.00411	0.0	0.0	0.0	0.00291	0.88275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00188	0.00348	0.0	0.0	0.04415	0.00611	0.0	0.0	0.0	0.0	0.0	0.01157	0.0	0.0	0.0	0.0	0.0	0.09042	0.0	0.00657	0.00244	0.0	0.03036	0.0	0.00247	0.0	0.0	0.08044	0.0	0.0	0.0	0.00402	0.0	0.00175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00537	0.0	0.0	0.0	0.00325	0.0	0.0	0.0	0.00731	0.01658
s__Bacteroides_xylanisolvens	0	0.01232	0.15344	0.05129	0.02092	0.82754	0.00665	0.12803	0.14347	0.01339	0.00563	0.01041	0.422	0.01545	0.01204	0.10784	0.15748	0.10328	0.04146	0.87856	0.0	0.00998	0.1284	0.16231	0.30398	0.10079	1.18424	0.82256	0.0037	0.19371	0.02269	0.0	0.13755	0.03282	0.97	2.44395	0.09054	0.00105	0.04648	0.17587	0.02885	0.00825	0.82552	0.18402	0.00857	0.19568	0.40554	0.54845	0.0	0.29232	0.37542	0.00393	0.11635	0.07127	0.0064	0.1796	0.59799	0.01155	0.05978	0.36293	1.86477	0.00599	0.01648	0.01261	0.33944	0.00571
s__Actinomyces_graevenitzii	0	0.01224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01621	0.00137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_odontolyticus	0	0.01199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01506	0.02096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Asaccharobacter_celatus	0	0.01108	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12333	0.0	0.0	0.0	0.0	0.00092	0.0	0.0	0.0	0.04086	0.0	0.0	0.0	0.0	0.00162	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00015	0.0	0.0	0.0241	0.0	0.0	0.0	0.02547	0.0	0.0	0.0	0.0	0.0	0.0
