clade_name	NCBI_tax_id	GupDM_A_11	GupDM_A_15	GupDM_A1	GupDM_A10	GupDM_A12	GupDM_A13	GupDM_A14	GupDM_A2	GupDM_A3	GupDM_A4	GupDM_A5	GupDM_A6	GupDM_A7	GupDM_A8	GupDM_A9	GupDM_HAG	GupDM_HAH	GupDM_HAI	GupDM_HAJ	GupDM_HAK	GupDM_HAL	GupDM_HAM	GupDM_HAN	GupDM_HAO	GupDM_HAP	GupDM_HAR	GupDM_HAT	GupDM_HBR	GupDM_HCL	GupDM_HCM	GupDM_HCN	GupDM_HCO	GupDM_HCP	GupDM_HCQ	GupDM_HCR	GupDM_HCS	GupDM_HCT	GupDM_HCU	GupDM_HCV	GupDM_HCY	GupDM_HDB	GupDM_HDF	GupDM_HP	GupDM_HR	GupDM_HS	GupDM_JA	GupDM_JB	GupDM_JC	GupDM_JD	GupDM_JE	GupDM_JG	GupDM_JH	GupDM_JI	GupDM_JJ	GupDM_JK	GupDM_JL	GupDM_JM	GupDM_JN	GupDM_JO	GupDM_JP
s__Oscillibacter_sp_57_20	0	0.29042	0.0	0.03707	0.15797	0.0	0.0	0.0	0.03878	0.5175	0.0	0.36168	0.49867	0.0	0.0	0.0	0.17439	0.07925	0.0	0.0	0.40715	0.0	0.07293	0.0	0.0	0.15953	0.0	0.1066	0.04797	0.0	0.16981	0.11724	0.01435	2.04254	1.22863	0.26893	1.69933	0.0	0.03648	0.03687	0.0	0.06798	0.05297	0.18018	0.10187	0.31511	0.45227	0.47547	0.01574	0.47847	0.70475	1.35905	0.0	0.24151	1.20542	0.35721	0.45547	0.0	0.0	0.30422	0.95208
s__Faecalibacterium_prausnitzii	0	0.2626	0.0	0.87187	0.74692	0.64798	1.78205	0.0	0.0	0.0	9.64885	1.29709	3.97564	2.08815	0.00354	3.63451	0.58431	2.39736	1.68092	4.85651	3.27901	2.42598	2.81976	1.72927	0.89838	1.27129	0.38258	0.38095	5.50335	0.67692	1.42815	3.60336	7.44384	1.3436	2.1882	2.18555	0.9514	0.0	1.76395	6.9625	1.10068	4.84305	2.91182	0.46793	0.31182	0.66372	0.01674	0.93489	0.0	0.0	0.52573	1.62197	0.0	0.41391	0.04749	0.18663	0.11097	0.0	0.0	0.52577	0.89686
s__Bacteroides_dorei	0	0.25855	0.0	11.75956	0.0	0.0	0.0	0.0	4.12683	0.0	0.0	0.0	2.62493	0.16234	0.0	0.0	0.0	0.0	0.0	0.53172	0.0	0.0	0.0075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06164	0.98777	2.87044	0.0	0.0	0.0	0.0	0.10462	0.49093	0.0	15.66323	0.0	0.0	0.08315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_gordonii	0	0.21407	0.0	0.00793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dorea_longicatena	0	0.14688	0.0	0.12592	1.11048	0.0	0.0	0.0	0.0	0.0	0.06903	0.46791	0.0	0.02867	0.0	0.0	0.0	0.30262	0.15386	0.02311	0.23074	1.67577	0.07492	7.18985	0.0	0.27141	0.0	0.16492	0.08277	0.03186	0.0	0.94156	0.0	0.0	0.0	0.86743	0.0	0.0	0.0	0.0	0.0	0.13705	0.03341	0.64551	0.0	0.04243	0.0	0.0	0.0	0.0	0.0	0.27678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13045
s__Lactobacillus_amylovorus	0	0.12225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Prevotella_copri	0	0.11462	0.0	0.5081	0.22441	0.0	0.0	2.39399	0.1743	0.0	2.9128	13.62363	4.95872	29.93923	0.0	0.0	77.51126	78.44183	68.61681	0.0	54.73784	22.67401	18.60715	0.0	29.48105	87.24307	86.55372	53.50746	36.70138	76.62737	84.42733	15.33202	81.83568	2.69726	0.0	50.87827	43.1584	0.0	32.27374	82.18147	46.31854	38.87673	0.0	46.89815	73.48756	62.78306	13.33556	23.62888	0.0	0.04834	2.66967	4.32662	1.13225	10.95773	0.12798	1.74303	12.15347	0.52609	0.59467	11.67562	6.5665
s__Dorea_formicigenerans	0	0.10827	0.0	0.0	0.0	1.93685	0.0	0.0	0.0	0.60969	0.04406	0.07116	0.0	0.03331	0.0	0.0	0.0	0.0	0.20905	0.0	0.0	0.02613	0.0	0.0	0.0	0.0	0.0	0.0	0.00407	0.0	0.0	0.36666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04465	0.0	0.0	0.0	0.0	0.0	0.0382	0.07492	0.0	0.0	0.04802	0.0	0.0448	0.00959	0.0	0.0	0.00591	0.01396	0.03849	0.04702
s__Bacteroides_xylanisolvens	0	0.10637	0.47503	0.14752	0.0	0.08114	0.0	0.0	0.0	0.0	0.26585	0.0	0.0	0.0	0.56995	0.0	0.08281	0.0	0.10203	0.0	0.12372	0.0	0.8751	5.5745	1.77658	0.0	0.0	0.05816	0.0	0.0	0.0	0.29147	0.01165	0.11085	0.05692	0.0	0.0	0.0	0.0	0.01367	0.21686	0.0	0.0	0.0	0.0	0.00112	0.12395	2.2451	0.3783	0.20731	0.73643	0.0	0.0	1.50248	0.13414	0.34848	0.17659	0.19338	0.21014	1.53262	0.57951
s__Phascolarctobacterium_faecium	0	0.10425	0.0	0.0	0.0	0.20001	0.0	0.0	0.35793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4658	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05762	0.0	0.12998	0.0	0.0	0.0	2.70599	1.57713	0.0	0.0	0.0	1.10997	1.16126	0.0	0.02499	1.25426	1.48709	1.04715	0.0
