clade_name	NCBI_tax_id	TZ_10742	TZ_12739	TZ_14139	TZ_16581	TZ_21460	TZ_21618	TZ_24827	TZ_25806	TZ_27689	TZ_29321	TZ_37609	TZ_38244	TZ_39227	TZ_39371	TZ_40311	TZ_41014	TZ_42041	TZ_42864	TZ_43638	TZ_47979	TZ_60579	TZ_61717	TZ_65172	TZ_65642	TZ_67706	TZ_70090	TZ_73414	TZ_76219	TZ_81781	TZ_83627	TZ_83788	TZ_83893	TZ_83985	TZ_86768	TZ_86771	TZ_87532	TZ_90808	TZ_91827	TZ_93321	TZ_99300
s__Firmicutes_bacterium_CAG_238	0	0.64576	0.0	0.0	0.0	0.0	0.0	0.0	1.5386	0.0	0.0	0.15365	0.0	0.0	1.57655	0.0	0.0	0.0	0.0	0.33729	0.0	0.0	0.0	1.96269	0.0	0.0	0.0	0.21646	0.0	0.0	0.0	0.0	0.03019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_170	0	0.63659	0.0	0.0	0.0	0.0	0.06739	0.0	0.0	0.0	0.38523	1.08656	0.0	0.34996	1.51965	0.0	0.0142	0.23615	0.0	0.67185	1.05097	3.04716	0.12748	0.13842	0.02811	0.0	0.0	0.05676	0.22139	0.0	1.44913	0.0	1.17852	0.01411	0.0	0.0	0.0	0.33227	0.01203	0.0	0.15146
s__Fusicatenibacter_saccharivorans	0	0.62958	1.68483	0.75782	0.93327	0.09074	1.78301	1.29081	0.0	1.68146	0.0	0.64083	0.11156	0.99914	0.05868	5.29954	1.80048	0.09633	0.11603	0.01314	1.97656	2.89268	0.37581	2.96692	0.13283	1.63344	2.04919	3.16893	0.49215	0.89678	0.37715	0.61153	0.49535	0.81554	0.64992	0.90281	4.27339	0.40449	0.70585	0.96933	0.40831
s__Roseburia_sp_CAG_471	0	0.5993	1.14485	0.31683	0.0942	14.2705	0.35341	1.04027	0.0	0.16827	0.11831	0.03507	0.06099	0.42834	0.56026	0.65877	0.15003	0.0	0.08774	0.0	0.0	0.03847	0.08078	0.41788	0.27786	1.1432	0.03942	0.02256	0.0	0.0	0.0	0.0	0.19646	0.02654	0.0	1.25551	1.56745	0.0	1.48123	0.25775	0.07935
s__Eubacterium_rectale	0	0.58324	1.14637	6.61856	0.06736	0.0	0.71144	0.24494	1.00053	1.1403	1.16687	0.34585	1.1507	1.16135	0.54292	2.66681	2.7529	0.48038	2.18359	0.04091	0.56535	3.9948	0.32366	5.54441	0.7828	1.54607	3.53365	0.47468	0.49276	20.73741	0.18888	1.6783	0.93861	1.84603	16.37891	0.16484	4.86	3.33716	0.54531	0.53128	0.11136
s__Clostridium_sp_CAG_632	0	0.55962	0.0	0.0	0.0	0.0	0.36311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23525	0.9798	0.0	0.21414	0.02436	0.0	0.24895	0.16724	0.0	0.0	0.21317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14459	0.0	0.12195	0.03597
s__Firmicutes_bacterium_CAG_555	0	0.48823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.28448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_bicirculans	0	0.47009	0.0	0.0	0.0	0.0	0.0	0.09587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17302	0.0	0.0	0.0	0.0	0.0	0.0	0.07908	1.48167	0.0	0.0	0.07688	0.0	0.0	0.0	0.0	0.04678	0.0	0.0	0.0	0.0	0.01744	0.0	0.05996	0.0
s__Firmicutes_bacterium_CAG_95	0	0.36289	0.12742	0.0	0.0	0.0	0.0	0.0	3.73892	0.18315	1.36001	0.0	0.0	0.0	2.83963	0.0	0.0	0.40932	2.93216	0.96746	0.0	1.50255	0.07943	0.03412	0.0	0.0	0.0	0.11054	0.79966	0.0	0.26802	0.0	0.0	0.0	0.0	0.0	0.0	0.02299	0.0	0.0	0.35883
s__Prevotella_sp_CAG_520	0	0.32749	0.45141	0.29348	0.0	0.02452	0.05876	0.02249	2.96434	0.25452	13.91145	0.599	4.37399	0.0	0.0	0.0	1.78728	0.80365	1.91334	10.24524	0.60493	0.02377	0.0	0.02413	0.88439	0.0	0.0	0.11055	0.2839	0.90918	0.01448	8.64163	1.40176	1.84071	0.78644	0.02025	0.01726	3.03716	0.35307	10.27207	0.17144
s__Eubacterium_sp_CAG_251	0	0.30291	0.25943	0.0	0.58004	0.0	0.0	0.0	0.74362	0.32745	0.0	0.0	0.0	0.0	0.0	0.0	2.21773	0.08737	0.06846	0.0	0.0	0.0	0.0	0.52487	0.71808	1.34602	0.0	0.0	0.0	0.0	0.0	0.1311	0.0	1.09088	0.08564	0.0	0.0	0.70707	0.0	0.0	0.0
s__Blastocystis_sp_subtype_1	0	0.2356	0.0	0.0	0.0	0.0	0.0	0.0	0.04952	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02122	0.0	0.0	0.00272	0.0	0.0	0.0	0.0	0.03937	0.0	0.0	0.0	0.0	0.0	0.0	0.00971	0.0
s__Intestinibacter_bartlettii	0	0.21595	1.10965	0.0	0.0	0.0	0.05977	0.1774	0.0	1.64456	0.55633	0.15306	0.0	0.0	0.0	0.0	1.44865	0.0	0.0	0.0	0.0	1.4446	0.22311	1.91636	0.59377	0.89213	0.0	0.45321	0.0	0.28458	1.36218	0.0	1.32775	0.0	0.20734	0.47249	0.0	0.04461	2.49449	0.03004	0.09271
s__Treponema_succinifaciens	0	0.21472	0.0	0.0	0.01626	0.00753	0.03589	0.01392	2.464	0.07808	0.0	2.4203	0.43715	0.41907	0.0	0.0	0.0	1.0386	0.13464	0.86185	2.6066	0.24953	0.0	0.0	0.96792	0.0	0.70637	0.05696	1.00836	0.0	0.38376	0.0	0.48477	0.68221	0.0	0.0	0.0	0.07512	0.0676	0.07495	0.79146
s__Blautia_wexlerae	0	0.19178	0.77925	0.75613	11.36061	0.40211	0.52509	0.86409	1.21672	0.67456	1.4791	0.41498	0.1068	0.11346	0.10895	2.36229	1.48612	0.06305	1.60789	0.34522	0.15581	0.50372	0.40576	0.96331	1.02883	0.74569	1.19681	1.82557	0.0	0.54579	0.1892	0.11639	0.12831	0.84607	0.23515	2.37676	2.27529	0.36079	4.0056	0.54528	0.07061
s__Ruminococcus_obeum_CAG_39	0	0.15463	0.0	0.0	0.07833	0.0	0.34078	0.0	0.0	0.12206	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06654	0.0	0.0	1.61047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08637	0.0	0.06037	0.0
s__Prevotella_sp_AM42_24	0	0.15138	0.11701	0.29458	0.54552	0.05199	0.09928	1.00117	0.96528	1.68103	1.03487	0.52375	3.89648	3.61193	1.07883	0.0315	3.58581	1.76397	2.96542	0.95382	0.84472	0.31361	0.26428	0.30809	7.20595	0.0287	0.40019	1.54423	3.72903	2.85552	1.04973	4.05482	6.30739	2.1353	2.47325	1.19811	0.08624	9.65613	0.0	1.10538	0.39285
s__Paeniclostridium_sordellii	0	0.13686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.83318	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Oscillibacter_sp_CAG_241	0	0.13665	0.0	0.0	0.05523	0.53497	0.09758	0.0	0.0	0.03764	0.82387	0.20022	0.31143	0.81278	0.13785	0.27146	0.0	0.19071	1.43194	0.36029	1.95744	0.84655	1.4941	0.40345	0.9646	0.13797	0.04719	0.10183	1.37946	0.0	0.29071	0.01237	0.46334	0.0	0.0	0.0	0.0	0.10426	0.07214	0.08563	0.09519
s__Prevotella_sp_885	0	0.12039	0.00892	0.2308	0.3869	0.0	0.0	0.0	0.32932	0.9793	0.01847	0.10447	0.0	0.0	2.01374	0.0	0.0	0.05868	0.0	0.44707	1.27229	0.01172	4.23798	0.38255	0.62152	0.06472	0.0	0.1109	2.46225	0.65464	0.01498	1.96317	0.45888	1.91964	0.52779	0.0	0.0	0.0	0.0	0.54829	0.15213
s__Roseburia_inulinivorans	0	0.09462	2.92573	3.5447	0.09098	0.18696	0.0	3.82389	1.52994	2.72553	0.39728	0.54616	0.0	0.44651	0.44208	0.05246	0.25915	0.18398	0.8931	0.0	0.17711	0.0	0.10654	0.70621	0.4948	0.02601	0.14997	1.27911	1.15659	0.30242	0.0	1.00513	0.31182	0.17319	0.25864	0.09082	0.0	0.00868	0.0	1.65899	0.12496
s__Clostridium_sp_CAG_167	0	0.09201	0.0	0.23812	0.0	0.0	0.0	0.22886	0.0	0.02671	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3557	0.24146	0.11368	0.0	0.0	0.0	0.0	0.28823	0.0	0.09189	0.0	0.0	0.0	0.0	0.0	0.1166	0.0	0.0	0.0	0.00677	0.0	0.07036	0.03426
s__Agathobaculum_butyriciproducens	0	0.07923	0.38829	0.0	0.14892	0.0	0.18034	1.15381	0.0	0.26859	0.0	0.24753	0.0	0.0	0.85671	0.64151	0.86183	0.06583	0.20345	0.0	0.02923	0.15143	1.66406	1.78585	0.13012	2.45223	0.0	0.12646	0.0	0.03418	0.0	0.0	0.07991	0.0	0.00463	3.64931	0.17311	0.04877	0.20236	0.01872	0.0
s__Prevotella_sp_CAG_1092	0	0.06922	0.07678	0.06167	0.0	0.02088	0.00872	0.09833	1.33536	0.40441	3.73038	2.24823	2.26373	2.15798	1.21208	0.0	0.60728	0.36658	2.50523	0.66732	8.97623	0.05876	0.03175	1.06719	3.73788	1.6487	0.12136	2.00402	2.51718	1.62885	0.09834	3.33369	0.26349	1.80917	1.85145	0.09927	0.05289	2.36239	0.155	1.33866	0.48079
s__Eubacterium_ramulus	0	0.04957	0.84169	2.38889	0.0	0.0	0.2341	0.42022	0.0	0.1388	0.0	0.0	0.0	0.0	0.0	0.08398	0.53873	0.0	0.0	0.0	0.0	0.0	0.0	0.2078	0.12204	0.63858	0.0	0.11711	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33977	0.0	0.0	0.0	0.00516	0.0
s__Anaerotruncus_sp_CAG_528	0	0.04861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.59288	0.0	0.0	0.0	0.0	0.0	0.04098	0.0	4.40929	0.34637	0.0	0.0	0.054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2222
s__Bacteroides_sp_CAG_530	0	0.0382	0.06298	0.0	0.0	0.0	0.36549	0.00582	0.0	0.1651	0.39417	0.0	0.0	0.87614	0.15	0.0	0.11397	0.0377	0.19782	0.51127	0.1015	0.0	0.0	0.46739	0.4682	0.28964	0.0	0.59475	0.0	0.0	0.0	0.41795	0.18873	1.70773	0.0	0.0	0.0	0.31526	0.0	0.19715	0.0
s__Eubacterium_siraeum	0	0.02317	0.39084	2.0794	0.0	0.0	0.15448	0.0	0.27227	0.0	4.05102	1.87293	0.0	1.18585	0.86167	0.07237	0.10742	0.0	0.95654	23.16995	6.85308	6.1296	1.73396	0.0	0.07396	0.20028	0.0	1.15296	0.57124	0.0	0.0	0.14652	0.0	0.0	0.0	0.0	0.0	1.08453	0.07845	0.09189	0.0
s__Slackia_isoflavoniconvertens	0	0.01608	0.52834	1.04929	0.21611	1.33577	0.43484	0.35875	0.0	0.61015	0.2318	0.14258	0.12647	0.0	0.47966	1.59319	0.19589	0.69016	0.0452	0.16743	0.19769	0.70986	0.26846	0.63519	0.2462	0.26213	0.12101	0.12389	0.14145	0.11684	0.01839	0.07856	0.24547	0.26324	0.18249	0.3566	0.49833	0.28586	0.81477	0.84651	0.4924
s__Firmicutes_bacterium_CAG_791	0	0.01572	0.29695	0.0	0.0	0.21633	0.11318	0.6258	0.4207	0.09699	0.6592	1.18192	0.03465	0.10463	0.06044	0.0	0.0	0.0	0.0	0.52083	3.38975	3.01781	1.33426	0.18917	0.12271	0.0	1.40266	0.0	1.31868	0.0	0.92038	0.01788	0.51612	1.45949	0.0	2.3391	2.36495	1.95276	1.70411	0.14106	16.43548
s__Roseburia_sp_CAG_303	0	0.00644	0.03127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34629	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Victivallis_vadensis	0	0.0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52696	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_ventriculi	0	0.0	23.60219	0.57529	12.46492	0.05373	14.40445	0.0	0.0	2.53748	0.1865	4.35555	1.43538	0.0	5.17925	12.79501	0.0	2.03434	0.0	0.5361	1.60792	8.25676	18.57085	1.19567	0.39129	0.0	7.16998	0.0811	0.0	1.8505	29.69482	0.10716	1.93734	0.36838	2.12694	0.05889	0.04587	0.15186	14.01288	0.65533	2.45548
s__Escherichia_coli	0	0.0	4.85259	3.36208	0.0	0.02942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05448	0.0	0.4163	0.0	0.0	0.0	0.0	0.0	0.23788	0.0	0.0	0.60854	0.0	0.0	0.0	0.0	0.04076	0.0	0.0	0.0	0.76159	0.0	0.0	0.0	0.0
s__Butyrivibrio_crossotus	0	0.0	3.61858	0.0	0.0	0.0	0.0	1.22709	0.64087	0.0	0.25109	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22789	0.71247	1.00549	0.0	0.0	0.0	0.41838	0.0	0.0	0.0	0.0	0.65499	0.0	0.0	0.26214	0.0	0.01976	0.0
s__Ruminococcus_lactaris	0	0.0	2.28693	8.32577	0.0	0.0	0.0	0.55893	0.0	0.15557	0.0	0.0	0.0	0.0	0.0	0.0	0.03726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02726	1.83625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10225	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_salivarius	0	0.0	0.57828	0.10914	0.0	0.08789	0.00703	0.0	0.0	0.05676	0.0	0.02533	0.0	0.0	0.0	0.82292	0.50675	0.0	0.15116	0.0	0.0	0.0	0.0	0.47286	1.2638	2.42958	1.13188	0.16607	0.0	0.5884	0.0	0.16639	0.0	0.01116	0.54554	0.0	0.06156	0.03548	0.43805	0.64605	0.11621
s__Coprococcus_eutactus	0	0.0	0.53735	1.16192	0.06203	0.0	0.67977	0.0	0.0	0.0	0.0	0.0	0.06409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23465	1.12028	0.76014	1.02066	2.26436	0.0	0.0	0.03033	0.22058	0.15031	0.00896	0.0	0.0	0.04645	1.85352	0.0	0.23038	0.07334
s__Butyrivibrio_sp_CAG_318	0	0.0	0.53457	0.0	0.0	0.0	0.0	0.0	0.0	0.41349	0.0	0.0	0.0	0.0	0.90538	0.0	1.39206	0.0	0.0	0.09279	0.0	0.0	0.0	0.04866	4.42755	0.0	0.0	0.09109	1.33978	0.99331	0.0	0.0	0.0	0.0	1.00728	0.0	0.0	0.11881	0.0	0.42756	0.0
s__Prevotella_stercorea	0	0.0	0.43558	0.0	0.13022	0.0	0.0	0.04154	0.0	0.11523	4.74574	0.10392	0.03523	2.33317	0.0	0.0	0.65609	0.0	2.48394	0.54237	0.0	0.0	0.0	1.73349	0.25901	0.0	0.0	0.02264	0.0	2.81242	0.0	1.2079	0.07856	3.65775	3.35158	0.0	0.0	0.57507	0.0	1.83371	0.0
s__Weissella_confusa	0	0.0	0.36799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
