model	held_out_study	balanced_accuracy	f1_macro	auroc	balanced_accuracy_std	f1_macro_std	auroc_std	n_train_samples	n_eval_samples	ctrl_anchor_mmd_mean	ctrl_anchor_mmd_max	ctrl_anchor_coral_mean	ctrl_anchor_coral_max	n_studies_diag
phylodiva-treenbvae	YuJ_2015	0.7003003003003003	0.2871584231301566		0.0262802084859837	0.0091875058861878		1522	128					0
phylodiva-treenbvae	WirbelJ_2018	0.6329487179487179	0.262063693649129		0.0090268610772126	0.0040453451455513		1525	125					0
phylodiva-treenbvae	YachidaS_2019	0.3611677321720868	0.2620825465566987		0.0037553611366519	0.002518931350582		1034	616					0
phylodiva-treenbvae	ThomasAM_2018a	0.5136973180076628	0.244129886782243		0.0197774320787552	0.0086792706394119		1570	80					0
phylodiva-treenbvae	ThomasAM_2018b	0.5723214285714285	0.2203406528309976		0.03079224688314	0.0139531113110828		1590	60					0
phylodiva-treenbvae	ThomasAM_2019_c	0.985	0.3939996874511642		0.0104582503316759	0.0041832067616929		1570	80					0
phylodiva-treenbvae	HanniganGD_2017	0.3482295482295482	0.2001475849320348		0.0288058673282533	0.0194209118879804		1569	81					0
phylodiva-treenbvae	GuptaA_2019	0.56	0.2570482215669701		0.0345607355888795	0.015160201615494		1590	60					0
phylodiva-hyp-philr-nb	FengQ_2015	0.8701248085409684	0.5244023452263907		0.0091762603141609	0.0056492661622682		1496	154					0
phylodiva-hyp-philr-nb	VogtmannE_2016	0.5833333333333334	0.3551470805962705		0.0	0.0008279990827686		1540	110					0
phylodiva-hyp-philr-nb	ZellerG_2014	0.7539132654814684	0.447435513890147		0.0112675851129452	0.0076116405153017		1494	156					0
phylodiva-hyp-philr-nb	YuJ_2015	0.9343843843843844	0.37906627994414		0.003700828091251	0.0013519798351097		1522	128					0
phylodiva-hyp-philr-nb	WirbelJ_2018	0.9192307692307692	0.3756308202077518		0.0102062072615965	0.0028527690093579		1525	125					0
phylodiva-hyp-philr-nb	YachidaS_2019	0.5831887537205107	0.4599342563168534		0.0099647537029348	0.0086272528842217		1034	616					0
phylodiva-hyp-philr-nb	ThomasAM_2018a	0.8087058322690506	0.4825901997562766		0.0232812716655874	0.014487886687511		1570	80					0
phylodiva-hyp-philr-nb	ThomasAM_2018b	0.9558035714285716	0.3881026548123322		0.0088444699804281	0.00296209610112		1590	60					0
phylodiva-hyp-philr-nb	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
phylodiva-hyp-philr-nb	HanniganGD_2017	0.798277031610365	0.4798306367307813		0.0167852308573192	0.009464823039875		1569	81					0
phylodiva-hyp-philr-nb	GuptaA_2019	0.98	0.3959322033898305		0.0074535599249993	0.0015159782898303		1590	60					0
phylodiva-beta-vae	FengQ_2015	0.9371812175530652	0.5647028736792516		0.0	0.0		1496	154					0
phylodiva-beta-vae	VogtmannE_2016	0.6564102564102564	0.3850496389393757		0.0035110420352895	0.0019034539757828		1540	110					0
phylodiva-beta-vae	ZellerG_2014	0.944564240790656	0.5691459154728574		0.0043470044246441	0.0023391726037362		1494	156					0
phylodiva-beta-vae	YuJ_2015	0.9650650650650652	0.3861141409370034		0.0030217134831078	0.0006337462383088		1522	128					0
phylodiva-beta-vae	WirbelJ_2018	0.9416666666666668	0.3773916413668368		0.0	0.0		1525	125					0
phylodiva-beta-vae	YachidaS_2019	0.6996931514944503	0.5502657432685326		0.0024299830636613	0.0016114091109146		1034	616					0
phylodiva-beta-vae	ThomasAM_2018a	0.9252022137079609	0.5607856312073907		0.0062956615805191	0.0039796913379536		1570	80					0
phylodiva-beta-vae	ThomasAM_2018b	0.9808035714285716	0.3919747284878864		0.0079859570624992	0.0030005715863484		1590	60					0
phylodiva-beta-vae	ThomasAM_2019_c	1.0	0.4		0.0	0.0		1570	80					0
phylodiva-beta-vae	HanniganGD_2017	0.927336860670194	0.5557235792529911		0.0085746758642206	0.0053388982636377		1569	81					0
phylodiva-beta-vae	GuptaA_2019	0.99	0.3979661016949152		0.0091287092917527	0.0018566866356107		1590	60					0
xgb-baseline	FengQ_2015	0.5021246265601067	0.2644253621672014		0.0144855603524156	0.0098132998328224		1496	154					0
xgb-baseline	VogtmannE_2016	0.4051282051282051	0.2503457371474985		0.0146176336551171	0.0077216783562559		1540	110					0
xgb-baseline	ZellerG_2014	0.4891412467657441	0.2505238119857657		0.0096374290527201	0.0056824559568995		1494	156					0
xgb-baseline	YuJ_2015	0.7321821821821823	0.294598325061591		0.0086858830111164	0.0047411590480068		1522	128					0
xgb-baseline	WirbelJ_2018	0.717948717948718	0.3073408930963986		0.0085041661291164	0.0036602222498563		1525	125					0
xgb-baseline	YachidaS_2019	0.3448848018777602	0.2493985546712195		0.0037118593593291	0.0026846904942597		1034	616					0
xgb-baseline	ThomasAM_2018a	0.5214665815240528	0.2741227820852101		0.0290665515934233	0.0166665058486886		1570	80					0
