clade_name	NCBI_tax_id	ES_001	ES_007	ES_010	ES_014	ES_017	ES_019	ES_024	ES_043	ES_046	ES_048	ES_069	ES_080	ES_088	ES_089	ES_095	ES_099	ES_104	ES_106	ES_107	ES_108	ES_110	ES_114	ES_116	ES_132	ES_137	ES_147	ES_158	ES_207	ES_208	ES_209	ES_210	ES_211
s__Veillonella_infantium	0	0.0	0.0	0.35538	0.44566	0.13709	0.05522	0.05955	0.02724	0.47345	0.05922	0.08925	1.19003	0.0	0.24377	0.03872	0.00442	0.62373	2.40054	0.67264	0.84548	0.77757	2.93368	0.78287	1.53773	1.91007	0.0	0.69636	0.21764	1.00878	1.12114	2.94572	0.39333
s__Streptococcus_sp_A12	0	0.0	0.0	0.23511	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03018	0.0	0.16225	0.09201	0.01715	0.00926	0.0	0.0	0.00815	0.0	0.0	0.0	0.0	0.0	0.03569	0.0	0.03316	0.0	0.0	0.02652
s__Porphyromonas_somerae	0	0.0	0.0	0.18236	0.00252	0.21969	0.06698	0.03906	0.0	0.07007	0.0	0.0	0.00155	4.11184	0.00903	1.19824	3.37176	1.15592	4.31283	0.02273	0.0	0.69352	0.00155	0.24209	0.0	0.0	0.0	5.06938	0.0	4.77269	0.00752	0.17063	9.51785
s__Haemophilus_parahaemolyticus	0	0.0	0.0	0.11132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20263	1.17803	0.0	0.88433	0.0	0.00297	0.0	0.0	0.44843	0.0	0.0	0.0	0.0	0.0	0.61661	24.4206	0.0	0.02731	0.0	0.0146
s__Streptococcus_pseudopneumoniae	0	0.0	0.0	0.10777	0.30796	0.24275	0.02526	0.01378	0.0	0.0	0.09755	0.64869	0.0	0.0	0.0	0.73524	0.0	1.99735	0.00567	0.00658	0.0	0.01446	0.0	0.0	0.05092	0.0	0.0	0.1227	0.0	0.04785	0.03445	0.0335	0.0845
s__Megasphaera_micronuciformis	0	0.0	0.0	0.0	1.84683	0.04792	0.05888	0.1173	1.66062	0.26868	0.0	0.0	2.81164	0.0	1.10524	0.0	0.0	0.03313	2.19086	8.5279	0.77995	2.30351	3.33533	8.8148	1.81741	1.21455	0.0	0.00201	0.1434	0.0078	3.76425	4.12092	0.0
s__Streptococcus_sanguinis	0	0.0	0.0	0.0	0.8414	0.93428	1.67687	0.20101	0.08173	0.0	0.07644	1.59855	0.02368	0.33294	0.0	0.0	0.00836	0.01873	0.00767	0.01418	0.10783	0.01211	0.01751	0.0	0.08324	0.07218	0.0	0.02226	0.35579	0.04162	0.02507	0.08844	0.0
s__Streptococcus_pneumoniae	0	0.0	0.0	0.0	0.70356	0.0	0.0	1.34746	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11444	0.0	0.0	0.05148	0.0	0.0
s__Prevotella_pallens	0	0.0	0.0	0.0	0.64104	0.23875	0.14026	0.06312	0.03963	0.0	0.0	0.0	0.0	0.0	0.33585	0.03274	0.0	1.49423	3.55687	14.47699	0.0	10.62873	4.28121	7.82244	0.06291	0.37562	0.0	1.6677	0.0	0.10277	6.8927	3.49575	0.06701
s__Prevotella_sp_oral_taxon_306	0	0.0	0.0	0.0	0.6199	0.02574	0.01418	0.07866	0.06479	0.09583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.72962	0.0	17.334	0.24995	8.18085	3.75223	0.05735	3.72571	0.0	0.01419	0.35762	0.0	0.0	5.88063	0.21257	0.0
s__Campylobacter_concisus	0	0.0	0.0	0.0	0.37082	0.0	0.0	0.00866	0.27409	0.11535	0.0	0.16314	1.30858	0.0	0.10097	0.0	0.0	1.12539	0.71272	0.25105	1.51711	1.79566	1.32961	0.34781	0.20054	1.01739	0.0	0.734	0.0	0.62328	3.42242	0.46539	0.37711
s__Streptococcus_peroris	0	0.0	0.0	0.0	0.21757	0.0	0.0	0.0	19.5318	0.0	0.1455	0.0	0.0	0.0	0.0	0.26137	0.0	0.0	0.02475	0.0	0.04035	0.00395	1.13047	0.0	0.0	0.0	0.0	0.00819	0.0	0.00918	0.0	0.0	0.0
s__Mogibacterium_diversum	0	0.0	0.0	0.0	0.13786	0.0	0.00419	0.00365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07212	1.21917	0.15838	0.01728	0.0511	0.61656	0.40661	0.0	0.3339	0.0	0.01733	0.02239	0.04201	0.22962	0.22202	0.0
s__Neisseria_sicca	0	0.0	0.0	0.0	0.1327	0.0	0.0	0.48737	0.0	0.0	0.0	0.0	0.0	0.3505	0.21812	0.57844	1.17986	0.06882	0.08616	0.16719	0.0	0.11679	0.01309	0.0	0.0	0.0	0.0	0.09689	3.57281	0.04781	0.0	0.0	0.05896
