clade_name	NCBI_tax_id	U_VS-1226-261	U_VS-1226-705	U_VS-1506-127	U_VS-1506-333	U_VS-1540-350	U_VS-1540-523	U_VS-1590-365	U_VS-1590-529	U_VS-1592-169	U_VS-1592-367	U_VS-1651-391	U_VS-1651-541	U_VS-1686-403	U_VS-1686-548	U_VS-3059-508	U_VS-3059-665	U_VS-3145-692	U_VS-3145-837	U_VS-4218-876	U_VS-4218-901	U_VS-P610052-1	U_VS-P610096-1	U_VS-P610119-1	U_VS-P610129-1
s__Gemella_haemolysans	0	0.00162	0.00612	0.0	0.0	0.0	0.0	0.00353	0.00527	0.00232	0.00327	0.0038	0.0	0.01117	0.01533	0.00653	0.0018	0.0011	0.00231	0.00267	0.00072	0.0	0.0	0.00112	0.0
s__Veillonella_parvula	0	0.00161	0.01308	0.08079	0.00116	0.0	0.07105	0.0	0.0	0.00173	0.03957	0.0	0.0	0.00198	0.01339	0.0034	0.02088	0.01406	0.09135	0.04046	0.00094	0.0	0.0	0.01135	0.0011
s__Denitrobacterium_detoxificans	0	0.00147	0.00195	0.00349	0.0016	0.00025	0.00028	0.00189	0.00058	0.00063	0.0	0.00034	0.0	0.00443	0.0	0.0	0.00129	0.00108	0.00128	0.00422	0.00136	0.0013	0.0	0.0	0.00048
s__Veillonella_dispar	0	0.00107	0.0	0.00387	0.0	0.0	0.07733	0.0	0.0	0.00084	0.00205	0.00277	0.0	0.0	0.0	0.0	0.00304	0.00565	0.0228	0.00157	0.0	0.0	0.0	0.03347	0.00389
s__Cutibacterium_acnes	0	0.001	0.0017	0.02976	0.0	0.0	0.01244	0.00235	0.00179	0.00159	0.0	0.00497	0.0001	0.01519	0.0	0.00526	0.00215	0.0	0.00448	0.00338	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_infirmum	0	0.0007	0.00198	0.0043	0.00022	0.00276	0.0	0.02591	0.00695	0.00393	0.0	0.0	0.00091	0.01168	0.00312	0.00909	0.00297	0.00694	0.00697	0.0023	0.0	0.0	0.0	0.0	0.0
s__Romboutsia_ilealis	0	0.00061	0.00047	0.00393	0.01881	0.0	0.0	0.03157	0.0002	0.00375	0.00066	0.0	0.0	0.00032	0.00087	0.00762	0.00556	0.01234	0.01385	0.0	0.0	0.03068	0.00395	0.0	0.00138
s__Oribacterium_parvum	0	0.0006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00207	0.0	0.0	0.0	0.00244	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Sharpea_azabuensis	0	0.00058	0.00135	0.00691	0.00258	0.0041	0.00109	0.01368	0.00462	0.00079	0.0	0.00515	0.0007	0.00182	0.00162	0.0	0.00227	0.00077	0.003	0.0041	0.00233	0.0	0.0	0.0	0.00174
s__Oribacterium_sinus	0	0.00055	0.00029	0.0	0.0	0.00289	0.0	0.0	0.00684	0.0	0.0	0.0	0.0	0.0	0.0	0.00041	0.0	0.00453	0.00039	0.0	0.0	0.0	0.0	0.0	0.0
s__Gordonibacter_pamelaeae	0	0.00042	0.001	0.0036	0.00177	0.00076	0.00148	0.00141	0.00197	0.00203	0.0	0.0	0.00267	0.00889	0.00034	0.00052	0.00107	0.00217	0.00347	0.00535	0.00294	0.00291	0.0	0.00011	0.00142
s__Enterorhabdus_caecimuris	0	0.00031	0.0006	0.00247	0.00124	0.00038	0.00046	0.00095	0.00073	0.00125	0.0	0.0	0.00035	0.00684	0.0	0.0	0.0008	0.001	0.00166	0.0042	0.00205	0.00142	0.0	0.0	0.00015
s__Streptococcus_gordonii	0	0.00031	0.03707	0.0	0.0036	0.0	0.02322	0.0	0.00503	0.0045	0.0	0.00151	0.0	0.00882	0.04141	0.05058	0.06613	0.00288	0.01491	0.0	0.0	0.0	0.0	0.01289	0.0
s__Ruminococcus_callidus	0	0.0003	0.25557	0.00147	0.0	0.00103	0.0	0.16884	0.0	0.03517	0.00165	0.02152	0.0	0.00036	0.00288	0.00061	0.05244	0.00255	0.00089	0.0	0.0	0.00748	0.0	0.0	0.01695
s__Butyricimonas_virosa	0	0.00012	0.0	0.0	0.01572	0.0	0.0	0.0	0.0	0.0	0.0	0.00061	0.03535	0.0	0.0	0.0	0.0	0.00698	0.02386	0.0	0.0	0.10023	0.0	0.0	0.0
s__Bacteroides_thetaiotaomicron	0	8e-05	0.00124	0.00087	0.0	0.0	0.0	0.0	0.0	0.0	0.02186	0.02372	0.68436	0.0	0.0	0.0	0.0	0.08439	0.01849	0.0	0.00139	0.01164	0.0	0.0	0.0
s__Bifidobacterium_ruminantium	0	0.0	3.77326	0.0	0.0	0.0	1.90101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00124	0.0	0.0	0.0	0.0	0.0
s__Clostridium_ventriculi	0	0.0	0.53805	0.0	0.0	0.0	0.0013	0.0	0.0	0.0	0.0	0.0	0.00138	0.0	0.0	0.01354	0.0	0.0	0.0	0.01211	0.0	0.00229	9.26677	0.21286	0.0
s__Streptococcus_vestibularis	0	0.0	0.08082	0.00198	0.0	0.0	0.00376	0.0	0.0	0.00718	0.0	0.0	0.0	0.0	0.00637	0.02122	0.01854	0.01952	0.00754	0.0	0.0	0.0	0.0	0.0	0.0
s__Enterococcus_casseliflavus	0	0.0	0.03641	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03391	0.0	0.0	0.0	0.0	0.0	0.07367	0.0	0.0	0.0	0.06569	0.0	0.0	0.0	0.0
s__Actinomyces_graevenitzii	0	0.0	0.03024	0.06389	0.00387	0.0	0.0	0.0068	0.00884	0.01232	0.00464	0.0	0.0	0.04358	0.00358	0.00457	0.02669	0.04138	0.00799	0.02238	0.01074	0.01245	0.0	0.10157	0.00356
s__Eubacterium_sp_CAG_38	0	0.0	0.02822	0.02408	0.68952	0.03335	0.00562	0.02979	0.00113	0.41908	0.21465	0.0	0.0	0.00092	0.0049	0.04546	0.01942	0.02713	0.15839	0.00841	0.0	0.0	0.0	0.02113	0.06544
s__Clostridium_sp_CAG_590	0	0.0	0.02047	0.07565	0.20038	0.00875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00247	0.0	0.0	0.0
s__Variovorax_paradoxus	0	0.0	0.01989	0.02242	0.0	0.0	0.20856	0.0	0.01984	0.01241	0.0	0.0	0.03123	0.0	0.0071	0.1679	0.0	0.0	0.05552	0.0	0.03356	0.0	0.0	0.0	0.0
s__Streptococcus_anginosus_group	0	0.0	0.01297	0.11442	0.00819	0.0	0.00076	0.00061	0.00901	0.0907	0.02414	0.00257	0.0	0.03354	0.01397	0.02842	0.02043	0.02107	0.00687	0.01253	0.00504	0.0	0.00913	0.04554	0.0
s__Clostridium_perfringens	0	0.0	0.01196	0.10785	0.66351	0.0	0.0	0.0	0.01412	0.02105	0.0	0.0	0.0	0.34092	0.37635	0.00615	0.18899	0.0018	0.01461	0.0	0.0	0.01724	0.57934	0.0	3.78764
s__Bifidobacterium_angulatum	0	0.0	0.01099	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_oris	0	0.0	0.01057	0.02503	0.0061	0.00982	0.00323	0.0155	0.00361	0.01317	0.00057	0.0046	0.01075	0.04867	0.0	0.07576	0.029	0.01053	0.06165	0.02579	0.00378	0.04062	0.0	0.00948	0.00148
s__Solobacterium_moorei	0	0.0	0.00778	0.01081	0.00387	0.0	0.0	0.01134	0.02697	0.0032	0.0	0.0	0.00156	0.01952	0.00436	0.02072	0.00618	0.01743	0.03289	0.02497	0.0	0.00127	0.0	0.00245	0.0
s__Coprococcus_eutactus	0	0.0	0.00728	0.18434	0.02619	0.00364	0.00202	4.18909	2.95536	0.08741	0.09358	0.47662	0.2517	0.00015	0.48882	0.0	0.28977	0.04728	0.05401	0.02853	0.0	0.45182	0.36716	0.0	0.00551
s__Actinomyces_naeslundii	0	0.0	0.00685	0.01033	0.0	0.0045	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.00635	0.0	0.0042	0.0	0.00185	0.0108	0.00364	0.0	0.01969	0.0	0.00227	0.0
s__Streptococcus_cristatus	0	0.0	0.00672	0.0	0.0	0.0	0.0	0.0	0.0	0.00047	0.0	0.0	0.0	0.00793	0.00752	0.02031	0.01345	0.02904	0.01788	0.0	0.0	0.0	0.0	0.0	0.0
s__Actinomyces_sp_oral_taxon_448	0	0.0	0.00595	0.01999	0.0052	0.0	0.0	0.0	0.0	0.0	0.0	0.00242	0.01405	0.01164	0.0	0.00716	0.0092	0.00102	0.0179	0.001	0.0	0.0	0.0	0.0	0.0
