clade_name	NCBI_tax_id	SAMEA4719760	SAMEA4719761	SAMEA4719762	SAMEA4719763	SAMEA4719764	SAMEA4719765	SAMEA4719766	SAMEA4719767	SAMEA4719768	SAMEA4719769	SAMEA4719770	SAMEA4719771	SAMEA4719772	SAMEA4719773	SAMEA4719774	SAMEA4719775	SAMEA4719776	SAMEA4719777	SAMEA4719778	SAMEA4719779	SAMEA4719780	SAMEA4719781	SAMEA4719782	SAMEA4719783	SAMEA4719784	SAMEA4719785	SAMEA4719786	SAMEA4719787	SAMEA4719788	SAMEA4719789	SAMEA4719790	SAMEA4719791	SAMEA4719792	SAMEA4719793	SAMEA4719794	SAMEA4719795	SAMEA4719796	SAMEA4719797	SAMEA4719798	SAMEA4719799	SAMEA4719800	SAMEA4719801	SAMEA4719802	SAMEA4719803	SAMEA4719804	SAMEA4719805	SAMEA4719806	SAMEA4719807	SAMEA4719808	SAMEA4719809	SAMEA4719810	SAMEA4719811	SAMEA4719812	SAMEA4719813	SAMEA4719814	SAMEA4719815	SAMEA4719816
s__Roseburia_faecis	0	1.04995	0.01825	2.95162	0.78874	0.26655	0.34895	0.0	0.0	0.36052	5.40023	0.04679	0.00594	0.0	0.08194	0.0	1.66831	2.4899	3.21244	9.2297	0.03956	0.00303	3.61121	3.1891	2.64606	17.45658	0.0	0.0	4.24042	0.11413	0.21544	5.96449	3.06647	0.04965	1.31266	0.09415	0.60396	0.00616	0.0	2.58492	0.66292	0.1368	0.001	0.1107	1.05291	0.6688	5.60192	0.00587	13.57343	7.70979	0.87968	0.0081	0.16184	0.99306	0.0	0.01045	6.21871	0.0
s__Clostridium_sp_CAG_632	0	1.03212	0.17737	0.08638	0.0	0.10401	0.09127	0.0	0.0	0.0082	0.53021	1.12517	0.0	0.0	0.21405	1.08919	0.03793	0.0	0.08125	0.0	0.05145	0.11625	0.0	0.09196	0.2505	0.0	0.0	0.0	0.04987	0.0	0.01463	0.02052	1.13974	0.0	0.06826	0.07815	0.04281	0.0	0.63435	9.41084	0.0	0.57517	0.0	0.55148	0.0	0.31985	0.0	0.02582	0.0	0.97888	0.0	2.20852	0.0	0.0	0.13927	0.97556	0.0	0.0
s__Eubacterium_rectale	0	0.99013	2.04964	0.17619	13.55523	3.1864	2.46965	0.0	0.0	0.23176	2.41479	1.01029	0.0	0.0	2.48793	0.21227	1.29187	1.87561	41.91401	17.10556	0.07123	0.66499	6.14837	19.33433	0.18072	0.32963	2.17563	0.87112	12.56661	0.2458	9.5853	1.47478	13.73662	14.59034	8.89658	7.1905	8.69243	6.38191	0.07503	8.85284	0.63749	0.89498	0.43175	0.18455	3.59002	11.47385	3.2519	0.07072	10.57086	2.09095	1.07766	3.44188	0.50711	0.96801	0.09783	2.16913	2.76786	0.03426
s__Oscillibacter_sp_57_20	0	0.96739	0.11	5.19607	0.24048	4.57334	0.43671	0.0	7.32308	1.25911	1.42634	0.27044	0.00122	0.78799	2.74534	2.12758	0.05208	4.85938	0.23578	0.67383	1.15753	0.71487	0.26785	1.49749	4.49976	0.42699	3.10076	0.28219	1.4457	0.44688	0.15948	2.58131	2.19534	0.17467	1.50898	0.26558	0.08842	0.32916	0.37812	0.07845	0.00077	0.61187	0.00901	0.0	0.02458	0.32368	0.03236	0.0	0.02579	0.17436	0.05305	0.12717	0.00346	0.32948	1.47568	2.69107	0.60287	0.0
s__Eubacterium_hallii	0	0.9632	0.07686	0.81949	0.57601	1.38922	0.06876	0.0	0.0	0.21605	0.50096	1.27338	0.02446	0.08394	0.03255	2.08482	0.60495	0.35147	1.84047	0.11933	1.09191	1.18307	0.15371	0.30412	1.01967	0.40503	0.06642	0.04058	0.15872	0.93457	0.21606	0.0413	0.89543	0.20451	1.64589	1.56023	0.08814	3.6609	0.17263	0.64458	0.1248	0.43783	0.0	0.22432	0.25038	0.83934	0.55775	1.95411	0.28342	0.53773	0.01184	0.69674	0.00112	0.0	0.09843	0.6215	0.0	0.14088
s__Agathobaculum_butyriciproducens	0	0.94884	0.15617	0.13094	0.56904	0.10563	0.25317	0.0	0.12777	0.12127	0.04736	0.1727	0.29311	0.0	0.0438	0.57711	0.17979	0.01785	0.03916	0.07738	0.01682	0.5138	0.10297	0.16025	0.41808	0.02404	0.16286	0.18008	0.12349	0.01012	0.36522	0.45632	0.43465	0.43444	0.19428	0.48969	0.7856	0.43724	0.19778	0.06844	0.1099	2.21159	1.10972	0.0	0.31796	0.13388	0.31061	0.07159	0.84286	0.30754	0.02312	0.48623	0.21557	0.13056	0.18218	0.82519	0.06988	1.27497
s__Ruminococcus_torques	0	0.77947	0.17401	0.40241	2.5828	0.82511	0.36627	0.0	0.47874	0.11096	0.50318	2.25891	0.35955	0.425	0.05905	0.49812	0.73988	0.19097	2.71821	0.50181	1.15723	1.23731	3.0457	0.95533	1.76554	0.88527	0.16085	1.09906	0.89547	6.37665	1.298	0.14676	3.08916	0.29536	3.61962	7.67361	2.90142	0.89578	0.08925	2.18475	1.47253	1.46171	0.76063	0.84837	9.30859	0.63742	0.19617	1.34751	1.31878	4.03142	0.21434	1.85419	1.591	0.5578	0.40853	1.18967	0.93226	3.95759
s__Coprococcus_comes	0	0.70755	0.41521	0.09975	0.64919	0.46859	0.11987	0.0	0.03895	0.06835	0.59136	0.25014	0.06168	0.1044	0.06239	0.20248	0.41121	0.65278	0.0873	0.05264	0.2347	0.40399	0.123	0.62163	0.28688	0.26715	0.13456	0.42536	0.61911	0.65497	0.29552	0.20098	0.10745	0.09913	0.1646	2.48805	1.19064	0.86722	0.0458	0.52588	0.18245	0.09064	0.01471	0.09472	1.22433	0.4599	0.05737	0.6792	0.0442	0.5475	0.16528	0.74454	0.0	0.02029	0.16885	0.483	0.02342	0.0
s__Coprococcus_catus	0	0.68468	0.04472	0.11276	0.59832	0.23563	0.01732	0.0	0.04123	0.21732	0.04486	1.21677	0.00113	0.0	0.0105	0.34884	0.24361	0.82286	0.26889	0.0836	1.08682	0.16363	0.06895	0.13954	0.55141	0.52241	0.01143	0.0255	0.23376	0.45959	0.46698	0.04368	0.23609	0.02618	0.3628	0.55662	0.11031	0.91533	0.00637	0.30955	0.11009	1.17307	0.00066	0.17411	0.28427	0.45507	0.09763	0.15981	0.13473	0.90979	0.02434	0.19036	0.00558	0.00918	0.09661	0.12143	0.14049	0.0
s__Bacteroides_sp_CAG_530	0	0.67974	0.0	0.13877	0.1847	0.78813	0.68316	0.0	2.08656	0.25059	0.65249	0.96406	1.91375	0.11395	0.20573	0.18155	2.51251	0.0	0.06762	0.10454	0.76653	3.86577	0.65569	0.29746	0.50999	0.13465	1.47558	4.23666	0.27013	0.04853	0.8183	0.10861	0.09488	0.06152	0.0	0.23098	0.0	0.278	0.5227	0.23421	0.14672	0.03629	1.81328	0.00365	1.16474	0.19803	0.0	0.02136	0.44504	0.0	0.2881	0.24337	0.0	0.61608	0.46726	0.92847	0.36223	2.82589
