clade_name	NCBI_tax_id	S01-01-D	S01-02-D	S01-05-R	S01-06-R	S03-01-D	S03-03-R	S04-01-D	S04-02-D	S04-03-D	S04-04-D	S04-05-R	S04-06-R	S04-07-R	S04-08-R	S07-01-D	S07-03-R	S12-01-D	S12-02-D	S12-03-R	S12-04-R	S13-01-D	S13-02-D	S13-03-R	S13-04-R	S14-01-D	S14-02-D	S14-03-R	S14-04-R	S17-01-D	S17-02-D	S17-03-R	S17-04-R	S20-01-D	S20-02-D	S20-03-R	S20-04-R	S21-01-D	S21-02-D	S21-03-R	S21-04-R	S27-01-D	S27-02-D	S27-03-R	S27-04-R	S31-01-D	S31-02-D	S31-03-R	S31-04-R
s__Olsenella_scatoligenes	0	0.00047	0.0	0.0	0.0	0.0	0.0	0.0	0.00161	0.00185	0.0	0.0	0.0	0.0	0.0	0.00258	0.0006	0.00317	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.00346	0.0	0.0	0.0	0.0	0.0	0.0014	0.0	0.0	0.03637	0.0	0.0	0.00162	0.01045	0.00025	0.0
s__Veillonella_infantium	0	0.00042	0.0	0.0	0.00122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00508	0.0	0.0	0.00586	0.01111	0.00165	0.0	0.04099	0.00644	0.0	0.0	0.00637	0.00427	0.01963	0.00486	0.11231	0.00618	0.0	0.0	0.0	0.0	0.0	0.0	0.00933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00042	0.0
s__Neisseria_sp_oral_taxon_014	0	0.0	1.51635	0.0	1.12997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00234	0.01343	0.04114	0.00647	0.07612	0.17997	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31709	0.54385	0.91438	1.26272	0.0	0.0	0.0	0.0	0.05055	0.08742	0.0	0.0	0.04978	0.00617	0.12198	0.60221	0.04168	0.0	0.18239	0.02625
s__Prevotella_intermedia	0	0.0	0.68785	0.0	0.00055	0.40488	3.04562	5.0221	5.50508	3.77591	0.73727	4.4538	0.19339	0.0	0.0	11.89473	6.90814	0.0	0.0	0.0	0.01202	0.21029	12.73546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.88426	0.92814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.38299	2.02308	0.02064	0.03412
s__Capnocytophaga_haemolytica	0	0.0	0.43429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05259
s__Prevotella_denticola	0	0.0	0.28747	0.0	0.0	0.0	0.0	0.0	0.05443	0.0	0.0	0.0	0.0	0.0	0.0	1.24065	1.19549	1.39686	0.07109	0.0151	0.0	0.0	0.0	0.0	0.0	0.00533	0.06037	0.01599	0.0	0.00391	0.0	0.0	0.0	0.54116	0.0	0.0	0.0	0.73194	0.0	0.0	0.0	0.54267	0.30354	0.0	0.0	0.04958	0.00843	0.0	0.0
s__Eubacterium_saphenum	0	0.0	0.14277	0.0	0.0	0.00351	0.24581	2.17285	1.1361	1.30026	2.13545	0.0	0.0	0.00134	0.0	0.26126	0.01088	0.0	0.0	0.0	0.0	0.69692	0.56147	0.0	0.0	0.0	0.0	0.0	0.0	0.01464	0.0628	0.0	0.0	3.20475	0.0941	0.02249	0.00287	0.0	0.0	0.0	0.0	0.80375	0.22153	0.02478	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_mutans	0	0.0	0.09396	0.05894	0.15412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00771	0.0	0.32614	0.0	0.58993	1.55608	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33193	0.0	17.61209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00775	0.08044	0.01349	0.8596
s__Megasphaera_micronuciformis	0	0.0	0.08851	0.03222	0.0	0.0	0.0	0.0201	0.05236	0.0	0.0	0.0	0.39931	0.0	0.0	0.12725	0.20409	0.0	0.0	0.01662	0.0	0.0	0.0	0.0	0.00162	0.01303	0.00647	0.0	0.0	0.1066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Filifactor_alocis	0	0.0	0.07864	0.0	0.0	1.10826	1.44408	2.26971	2.15525	2.36539	2.69806	0.0	0.0	0.0	0.0	2.25569	0.56487	1.0458	1.09059	0.0	0.0	0.0	0.0	0.0	0.0	0.00147	0.0	0.03881	0.0	0.0	0.0	0.0	0.0	5.03813	1.04534	0.0	0.0	1.9106	0.34375	0.0	0.0	0.0	0.0	0.0	0.0	2.89617	2.23818	0.02463	0.03211
