clade_name	NCBI_tax_id	H1	H10	H11	H12	H13	H14	H15	H16	H17	H18	H19	H2	H20	H21	H22	H23	H24	H25	H26	H27	H3	H4	H5	H6	H7	H8	H9	IT1	IT11	IT13	IT14	IT2	IT3	IT4	IT5	IT6	IT7	IT8
s__Veillonella_parvula	0	0.18658	0.0	0.0	0.0	0.0	0.00157	0.0	0.0	0.03022	0.00213	0.0	0.0	0.07771	0.0	0.0	0.0	0.04667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_fragilis	0	0.1797	0.0	0.0	0.0	0.0	0.0	0.0	0.56281	0.0	0.0	0.0	0.0	0.44418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3059	0.0	0.0	0.0	0.0	0.0
s__Klebsiella_variicola	0	0.17106	0.13902	0.25589	0.08182	0.0	0.07074	0.0	0.0	0.0	0.0	0.02825	0.0	0.0	0.0	0.0	0.0	0.01442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01038	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_182	0	0.16303	0.50661	0.21977	1.01607	0.0	0.0	7.94564	0.51962	0.0	0.0	0.0	0.0	0.16701	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07811	0.0	0.0	0.0	0.0	0.0	0.09691	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Odoribacter_splanchnicus	0	0.15866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02886	0.0	0.0	0.0	0.12283	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.48137	0.64967	0.0	0.10209	0.04964	0.07681	0.91137	0.61253	0.54901	0.44412	0.0	0.0
s__Eubacterium_coprostanoligenes	0	0.1528	0.01731	0.01515	0.00342	0.0	0.0	1.10357	0.0	0.0	0.0	0.0	0.0	0.33746	2.79936	0.14332	0.0	0.0	0.08169	0.29209	0.0	0.00213	0.0	0.0	11.33894	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_831b	0	0.14398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14223	0.0	0.0	0.0	0.16892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CAG_590	0	0.13578	0.0	0.0	0.0	0.0	0.0	2.73501	0.0	0.00743	0.0	0.0	0.0	0.04784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Firmicutes_bacterium_CAG_110	0	0.11986	0.27051	0.20137	0.23503	0.55897	0.73233	0.42462	0.08331	0.40469	0.07234	0.00582	0.28738	0.29908	0.47211	1.24109	0.0	0.12646	1.56345	1.26649	5.55642	0.04944	0.3406	0.36346	0.0	0.0	0.07915	0.81241	0.0	0.14682	0.06259	0.08861	0.0	0.0	0.4863	0.0	0.02245	0.0	0.0
s__Oscillibacter_sp_CAG_241	0	0.11177	0.05762	0.06491	0.03247	0.09111	0.16821	1.23577	0.00386	1.57442	0.1613	0.02461	3.51597	0.16017	0.16008	0.9905	0.01401	0.23516	1.49433	0.54201	2.63458	0.13819	0.92652	0.01118	0.0	0.03768	0.16697	0.01327	0.40435	0.05244	0.0	0.02191	8.19686	0.31332	0.46615	0.0	0.08922	0.09291	0.0
s__Collinsella_aerofaciens	0	0.1113	0.68856	1.25988	0.59452	4.65462	11.42962	0.39222	0.95211	1.46216	0.86565	0.23446	3.70791	0.14577	2.13362	2.79952	0.43162	1.57369	9.17895	2.40393	6.19186	0.57414	3.21034	0.23917	0.25896	0.1566	0.0	0.29179	2.4787	5.17797	1.41157	6.08219	2.8678	0.0	0.42092	0.34447	1.03163	1.85691	9.13698
s__Ruminococcus_bromii	0	0.09248	0.12949	0.07938	0.03725	3.86311	2.98139	0.0	0.10853	0.93389	0.78959	0.02953	4.22243	0.12235	0.06881	0.0	0.40336	0.52777	0.0	0.0	0.41259	2.32378	1.47506	3.51669	0.0	0.01846	6.19549	2.14056	1.27959	7.21693	0.0	6.55409	14.02264	7.78727	1.7998	0.0	0.0	0.74429	0.23201
s__Catenibacterium_mitsuokai	0	0.08136	0.0	0.0	0.0	0.0	0.0	0.0	0.03228	0.92426	0.0	0.0	0.0	0.25859	0.0	0.32656	0.04478	0.13708	0.07681	0.57851	0.0	0.40038	0.0	0.14153	0.28206	0.8585	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Gemmiger_formicilis	0	0.07158	0.07698	0.09657	0.08629	0.24792	0.33709	0.22216	0.11253	0.31955	0.0084	0.03632	1.02123	0.14026	0.20124	0.23143	0.323	0.13778	0.20941	0.27836	0.3404	0.33602	1.12133	0.19593	0.07808	0.0	0.05757	0.1966	2.46819	0.5105	0.47637	0.3952	0.20208	0.0	0.23256	0.04667	0.06876	0.12434	0.71949
s__Bacteroides_intestinalis	0	0.07078	0.00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05714	0.0
s__Intestinibacter_bartlettii	0	0.05815	0.00067	0.0	0.0	0.03111	0.00625	0.0277	0.03419	0.02275	0.05936	0.0	0.0	0.07857	0.0	0.0	0.01295	0.0	0.0	0.0	0.0	0.00077	0.0	0.00394	0.00179	0.0	0.0	0.0	0.0	0.0	0.19603	0.28601	0.0	0.0	0.0	0.0	0.0	0.06566	0.0
s__Eubacterium_hallii	0	0.05443	0.36447	0.29973	0.28074	0.04655	0.02844	0.06539	0.01228	0.53645	0.06038	0.01888	0.10275	0.04897	0.06653	0.85093	0.04624	0.11797	0.33551	1.53167	0.07034	0.00395	0.05016	0.37105	0.18677	0.0	0.0	0.01226	0.47553	0.63302	2.26638	0.72217	1.37084	1.08889	0.05451	0.93727	0.76505	0.16275	2.95095
s__Streptococcus_salivarius	0	0.04756	0.18519	0.00645	0.1005	0.0	0.0	0.0	0.0	0.05368	0.0426	0.06141	0.0	0.05961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03314	0.03921	0.18048	0.29534	0.01316	0.31497	0.0	0.8583	0.0	0.01194	0.0	0.0	0.03835	0.17333	0.12574	0.11762	0.07165	0.0
s__Klebsiella_quasipneumoniae	0	0.04735	0.05543	0.05301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_309	0	0.0443	0.08301	0.06896	0.05376	0.12831	0.07296	0.13952	0.00789	0.02346	0.00629	0.00389	0.0	0.06694	0.01903	0.0	0.0	0.0	0.0	0.0	0.0	0.00536	0.00212	0.16281	0.0	0.0	0.02479	0.0	0.0	0.0	0.0	0.0	0.0	0.03314	0.06666	0.0	0.0	0.0	0.0
