clade_name	NCBI_tax_id	SAMEA1966431	SAMEA2017457	SAMEA2017458	SAMEA2017459	SAMEA2017460	SAMEA2055106	SAMEA2055107	SAMEA2055108	SAMEA2055109	SAMEA2055266	SAMEA2055267	SAMEA2055268	SAMEA2055269	SAMEA2055272	SAMEA2055273	SAMEA2055274	SAMEA2055275	SAMEA2055276	SAMEA2055277	SAMEA2055278	SAMEA2055279	SAMEA2055280	SAMEA2055281	SAMEA2055282	SAMEA2055283	SAMEA2055284	SAMEA2055285	SAMEA2055286	SAMEA2055287	SAMEA2055288	SAMEA2055289	SAMEA2055290	SAMEA2055291	SAMEA2055292	SAMEA2055293	SAMEA2055294
s__Eubacterium_sp_CAG_180	0	0.0	0.0	0.0	0.0	0.0	0.1458	5.83569	16.46868	14.16946	8.77028	19.65152	4.81308	0.41378	0.14312	0.0	1.39877	0.0	0.0	4.13614	1.36401	56.32007	8.13823	2.06786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17167	0.0	8.8506	0.0	0.0
s__Clostridium_sp_CAG_632	0	0.0	0.0	0.0	0.0	0.0	0.09823	0.0	0.0	0.0	0.0	0.0	0.0	3.15281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Parabacteroides_goldsteinii	0	0.0	0.0	0.0	0.0	0.0	0.09676	0.03642	0.0292	0.00237	0.0	0.0	0.01681	0.38748	0.0	0.0	0.0	0.0	0.0	0.0	0.03982	0.01826	0.0	0.39897	0.13359	0.00489	0.05845	0.0	0.0	1.04606	0.00769	0.05732	0.01778	0.0	0.0	0.11175	0.0
s__Lactobacillus_rogosae	0	0.0	0.0	0.0	0.0	0.0	0.09489	0.01818	0.00244	0.02587	0.08207	0.0	0.0	0.0	0.0	0.0	0.00391	0.0	0.0	0.0	0.0	0.0	0.0	0.04296	0.0	0.0	0.06784	0.0	0.0	0.0	0.01092	0.03909	0.06933	1.31612	0.0109	0.01	0.0
s__Paraprevotella_xylaniphila	0	0.0	0.0	0.0	0.0	0.0	0.08783	0.09044	0.0	0.0	0.32123	0.3975	0.03748	0.47441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00869	0.04522	0.02429	0.35311	0.06108	0.10502	0.26208	0.22658	0.07409	0.19712	0.11794	0.54699	0.08153	0.0	0.0	0.37238
s__Lachnospira_pectinoschiza	0	0.0	0.0	0.0	0.0	0.0	0.07611	0.12126	0.40275	0.05033	0.56265	0.0	0.0	0.0	0.0381	0.0	0.66161	0.0	0.0	0.0	0.0	0.0	0.0	1.29171	1.9017	0.0	1.48867	0.0	0.0	0.0	4.30787	0.10934	0.78563	1.68063	2.62729	1.15498	0.0
s__Oscillibacter_sp_CAG_241	0	0.0	0.0	0.0	0.0	0.0	0.07567	0.0937	0.0	0.0	0.0062	0.01206	0.09016	0.23804	0.00267	0.10021	0.0	0.0	0.0	0.009	0.06725	0.09118	0.37946	0.11504	2.72499	0.0489	0.16409	0.01459	0.08214	0.00613	0.01367	0.31647	0.36925	0.0	0.0	0.01435	0.02251
s__Firmicutes_bacterium_CAG_110	0	0.0	0.0	0.0	0.0	0.0	0.07418	0.11455	0.0	0.0	0.02219	0.00079	0.00998	0.30831	0.00905	0.0	0.0	0.0	0.0	0.00868	0.0	0.00947	0.02164	0.60205	1.8755	0.07599	0.0	0.05772	0.04619	0.0	0.0	0.1476	0.63451	0.0	0.0	0.28673	0.88833
s__Prevotella_sp_CAG_5226	0	0.0	0.0	0.0	0.0	0.0	0.0726	0.57482	0.16868	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20681	0.0	0.06082	0.05327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Bacteroides_sp_CAG_530	0	0.0	0.0	0.0	0.0	0.0	0.07145	1.12355	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41207	0.56878	0.0
s__Bacteroides_sp_OM08_11	0	0.0	0.0	0.0	0.0	0.0	0.06591	0.03384	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02166	0.06505	0.11576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Holdemanella_biformis	0	0.0	0.0	0.0	0.0	0.0	0.05567	4.82769	0.0	0.0	1.11818	0.4153	0.0	0.0	0.22439	0.90316	0.0	0.0	0.0	7.00341	9.86827	0.83583	1.39053	0.37302	0.0	1.00837	0.6955	0.0	0.0	0.69778	0.47697	0.73158	0.35904	21.85537	0.89723	4.15375	3.03437
s__Clostridium_sp_CAG_590	0	0.0	0.0	0.0	0.0	0.0	0.05529	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Catenibacterium_mitsuokai	0	0.0	0.0	0.0	0.0	0.0	0.04087	0.48446	0.0	0.0	0.95694	0.31891	0.54358	0.70301	1.71731	0.10071	1.71172	0.0	0.0	1.88396	6.52617	0.0	0.0	0.24328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25978	1.36437	0.90096
s__Clostridium_leptum	0	0.0	0.0	0.0	0.0	0.0	0.03946	0.0	0.0053	0.0	0.0	0.0	0.0	0.04772	0.00487	0.01117	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00785	0.0	0.0	0.04443	0.00088	0.04881	0.00513	0.17555
s__Bacteroides_pectinophilus	0	0.0	0.0	0.0	0.0	0.0	0.03336	1.30634	0.0	0.0	0.0	0.0	0.0	0.32934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Ruminococcus_sp_CAG_488	0	0.0	0.0	0.0	0.0	0.0	0.02918	0.0	0.0	0.0	0.0	0.0	0.05555	0.21866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.17613	0.0	0.02073	0.05507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Barnesiella_intestinihominis	0	0.0	0.0	0.0	0.0	0.0	0.02257	0.04192	0.0	0.0	0.01527	0.0	0.03286	0.34306	0.06401	0.0	0.0	0.0	0.0	0.18338	0.96623	0.18387	0.09847	1.0046	0.05368	0.21103	0.07332	0.85189	2.07368	0.0	0.00185	0.01653	0.00377	0.0	0.0	0.04862	0.15037
