clade_name	NCBI_tax_id	WBE003	WBE004	WBE005	WBE006	WBE007	WBE008	WBE009	WBE010	WBE011	WBE012	WBE013	WBE014	WBE015	WBE016	WBE017	WBE018	WBE019	WBE020	WBE021	WBE022	WBE023	WBE024	WBE026	WBE027	WBE028	WBE029	WBE030	WBE031	WBE032	WBE033	WBE034	WBE035	WBE036	WBE037	WBE038	WBE039	WBE040	WBE041	WBE042	WBE043	WBE044	WBE045	WBE046	WBE047	WBE048	WBE049	WBS012	WBS013	WBS014	WBS015	WBS016	WBS017	WBS018	WBS019	WBS020	WBS021	WBS022	WBS023	WBU001	WBU002	WBU003	WBU004	WBU005	WBU006	WBU007	WBU008	WBU009	WBU010	WBU011	WBU012	WBU013	WBU014	WBU015	WBU016	WBU017	WBU018	WBU019	WBU020
s__Corynebacterium_accolens	0	0.45863	1.44477	0.01505	0.0	0.50012	0.73554	0.13194	0.06532	0.0967	0.0653	0.04025	0.0782	0.11761	0.14641	0.80094	1.75739	0.01921	0.04884	1.21552	0.68451	1.39295	1.13806	0.49589	0.08948	0.85077	0.71283	0.0	0.0	1.09761	0.60032	0.31038	1.33534	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.04942	0.02151	0.27634	0.0	0.0	0.0	0.00565	0.33202	0.32251	0.0	0.0	0.23599	0.48783	0.8725	0.09292	0.34303	0.25808	0.04871	0.24825	3.7623	0.74361	0.0	0.00888	0.59433	0.32525	0.0	0.0	0.07152	0.01973	1.98212	0.83279	0.14476	0.07645	0.0632	0.21752	1.2735	0.52035	0.41803	0.70087
s__Staphylococcus_haemolyticus	0	0.44436	0.17582	0.42236	0.54304	0.14429	0.09198	0.0	0.14096	0.99558	1.23028	0.0	0.0	0.53101	0.26713	0.17284	0.35841	0.01926	0.0	0.0	0.0	0.0	0.0	0.05073	0.0	0.19765	0.0	0.0	0.16842	0.195	0.31568	0.0	0.0	0.08718	0.00486	0.08154	0.0	0.0	0.0	0.64785	1.47619	0.0	0.0	0.0	0.0	0.00316	0.11872	0.03588	0.28108	0.0	0.0	0.0138	0.02843	0.0	0.0	0.01305	0.0	0.0	0.0	0.14459	0.07445	0.0	0.26782	0.0	0.0	0.02033	0.18997	0.0	0.0	0.05466	0.03164	0.0	0.06899	0.0	0.00472	0.0	0.0	0.05562	0.14199
s__Micrococcus_luteus	0	0.39049	0.19455	3.01454	1.84889	3.2327	4.24811	10.00607	8.65924	0.23457	0.10218	0.09586	0.05006	2.19383	2.08361	6.10578	8.11419	0.15308	0.14618	0.26527	0.16258	1.05237	0.92027	0.16297	0.09495	12.15979	8.95816	19.7371	19.47211	1.66015	1.38349	0.29308	1.20516	4.71471	4.15655	0.40543	0.49209	14.69839	14.33729	0.25972	0.58417	0.0	0.0	0.0	0.0	1.02366	1.9502	4.13792	3.20778	0.62946	0.564	0.62661	0.50601	0.85891	0.23566	0.02082	0.02515	1.27392	0.70488	0.2357	0.23565	0.03545	0.45938	0.11825	0.07214	2.40337	1.00021	16.01496	21.95413	1.59869	1.12362	0.08054	0.0	0.16916	1.58767	9.76781	7.69624	2.34134	3.00165
s__Mycolicibacterium_iranicum	0	0.38752	0.76574	0.0	0.0	0.13562	0.71087	0.25958	0.58614	0.0	0.0	0.0	0.00488	0.09897	0.05234	0.0	0.0	0.49379	0.53532	0.0	0.0	0.0425	0.08112	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.97838	9.9199	0.0	0.03594	0.0	0.0	0.0	0.0	0.07939	0.0	0.0	0.0	0.00917	0.02729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0336	0.0	0.0	0.16598	0.30621	0.0	0.0	0.0	0.0	0.35071	0.57616	0.07012	0.08831	0.29406	0.07188	0.0	0.0	0.0	0.0	0.01584	0.01519	0.0	0.0
s__Cutibacterium_granulosum	0	0.38583	0.57447	0.30058	0.94629	0.06859	0.09321	0.74664	0.34467	0.42475	0.47509	0.39511	0.3059	0.29467	0.0587	0.03058	0.23641	0.08324	0.30032	0.14589	0.06828	0.8166	0.91587	0.11933	0.09169	1.11519	0.93253	0.0	0.03264	0.14934	0.0	0.7037	1.16418	0.0	0.0	0.14536	0.19848	0.01126	0.0	1.51511	0.60481	0.0	0.0	0.06103	0.10031	0.5246	0.27847	0.22238	0.23479	0.7943	0.58547	0.42514	0.78461	0.53342	0.42221	0.19279	0.21991	0.23074	0.20991	2.13911	1.20305	0.0	0.10693	0.63929	0.23074	0.0	0.0	0.21565	0.06335	0.24966	0.10911	1.77434	1.05555	1.03341	0.79207	0.16367	0.17328	0.52169	1.20252
s__Haemophilus_parainfluenzae	0	0.26862	0.04569	0.0	0.0	0.0	0.0	0.26189	0.40476	0.06731	0.05553	0.06761	0.09751	0.07064	0.50401	0.0	0.03993	0.1762	0.01927	0.23758	0.25724	0.09683	0.00771	0.23213	0.10502	0.22162	0.0	0.13073	0.3361	0.0	0.0	1.42295	0.41959	0.0	0.0	0.29774	0.01756	1.31263	2.09893	1.19779	2.00985	1.41952	0.0	0.82435	0.98441	0.08851	0.10118	0.0	1.67024	0.24714	0.26528	0.20453	0.15448	0.0	0.0	1.01846	0.65278	0.37874	0.29952	0.05783	0.0	0.0	0.03894	0.05954	0.05554	0.05421	0.0	0.01097	0.05091	0.05183	0.17544	0.0	0.04629	0.01912	0.10448	0.11314	0.0	0.0	0.04199
s__Paracoccus_sanguinis	0	0.24216	0.67196	0.01188	0.11212	1.69406	1.00099	0.59952	0.96825	0.0	0.0	0.0	0.12042	0.06868	0.0	0.0	0.0	1.73351	1.06468	0.0	0.0	0.0	0.0	0.0	0.0	0.28284	0.0	0.0	0.09741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36955	0.93034	0.0	0.0	0.0	0.0	0.0	0.0	0.2033	0.18467	0.0	0.0	0.0	0.0041	0.0	0.0	0.0	0.0	0.02112	0.0	0.03212	0.05789	0.0	0.0	0.0	0.0	0.0	0.0	0.27079	0.24279	0.0	0.0
s__Streptococcus_mitis	0	0.22868	0.0621	0.52978	0.53312	0.0	0.0	1.08648	1.83291	0.3884	0.40557	0.57646	0.47235	0.23077	1.31234	0.7978	1.19285	0.0	0.0	0.55401	0.32862	0.42194	0.18847	1.71567	0.62224	0.23273	0.26899	1.00367	0.4461	0.71197	1.43973	18.86185	1.62112	0.05558	0.0	0.34023	0.34304	0.14012	0.77048	6.6612	8.05459	7.21125	0.84185	18.3821	0.90512	0.52879	1.23191	0.11696	2.69681	0.74856	0.34445	0.46899	0.29569	0.00151	0.00515	0.48819	0.53937	1.3716	1.15545	0.13182	0.0845	0.0	0.25809	0.26187	1.75926	1.19529	0.50754	0.015	0.10793	1.3744	5.92041	0.1583	0.00728	0.18557	0.22055	0.41747	0.10824	0.16258	0.04442
s__Escherichia_coli	0	0.21577	0.08993	0.03716	0.0	0.0	0.0	0.0	0.0	0.18907	0.01794	0.0	0.04982	0.02717	0.0	0.0	0.0	0.0	0.04841	0.0	0.0	0.0	0.0	0.22503	0.0	0.22748	0.0	0.0	0.0	0.0	0.0	0.07425	0.0	0.0	0.40056	0.0	0.05436	0.0	0.0	0.0	0.75217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02705	0.0	0.0	0.0	0.20239	0.01823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Capnocytophaga_leadbetteri	0	0.20273	0.04628	0.0	0.0	0.0	0.0	0.0	0.0	0.07285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19023	0.03774	0.0	0.0	0.0	0.0	0.0	0.0	0.03518	2.22519	0.0	0.0	0.0	0.0	0.0	0.00594	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
