clade_name	NCBI_tax_id	SAMEA104335941	SAMEA104335942	SAMEA104335943	SAMEA104335944	SAMEA104335945	SAMEA104335946	SAMEA104335947	SAMEA104335948	SAMEA104335949	SAMEA104335950	SAMEA104335951	SAMEA104335952	SAMEA104335953	SAMEA104335954	SAMEA104335955	SAMEA104335956	SAMEA104335957	SAMEA104335958	SAMEA104335959	SAMEA104335960	SAMEA104335961	SAMEA104335962	SAMEA104335963	SAMEA104335964	SAMEA104335965
s__Lactobacillus_rogosae	0	0.0	0.01547	0.29071	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00099	0.0	0.0	0.0	0.0	0.0	0.0	0.07306	0.01035	0.0	0.0	0.0	0.0
s__Dialister_sp_CAG_357	0	0.0	0.014	0.0	0.0	0.0	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_lactis	0	0.0	0.00949	0.0	0.0	0.0	0.00444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Streptococcus_thermophilus	0	0.0	0.00654	0.0	0.00711	0.00144	0.00072	0.05895	0.0	0.0	0.05059	0.0	0.04205	0.0	0.02962	0.00538	0.0	0.71307	0.0	0.0	0.0	0.0	0.03345	0.0	0.0	0.0
s__Anaerotruncus_colihominis	0	0.0	0.00582	1.22967	0.0	0.0	0.0008	0.0	0.30058	0.01806	0.39578	0.01058	0.00608	0.01883	0.0	0.0	0.0049	0.0	0.00129	0.09643	0.00311	0.27085	0.0	0.0	0.06689	0.39506
s__Lawsonibacter_asaccharolyticus	0	0.0	0.00421	0.0	0.02746	0.0	0.06755	0.0	0.14877	0.00365	0.0	0.02626	0.42698	0.13991	0.16745	0.27581	0.65653	0.02039	0.4703	0.41775	0.11387	0.35835	0.44163	0.01248	0.0	0.49844
s__Streptococcus_anginosus_group	0	0.0	0.00417	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_innocuum	0	0.0	0.00302	0.01265	0.0	0.0	0.0	0.02078	0.00721	0.0	0.01709	0.0	0.0	0.0	0.0	0.01265	0.0	0.01299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Eubacterium_siraeum	0	0.0	0.00294	0.0982	1.40396	0.0	0.0	0.0	0.14298	1.52159	0.0	0.0	0.0	0.38011	0.89227	0.0	0.0	0.0	0.69369	0.27054	0.0326	4.59075	0.5793	0.4206	0.0	4.30874
s__Haemophilus_sp_HMSC71H05	0	0.0	0.00211	0.0	0.0	0.01622	0.0	0.0	0.0	0.0	0.01265	0.0	0.0	0.00631	0.0	0.0	0.0	0.0	0.01344	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_bolteae	0	0.0	0.00146	0.07645	0.0	0.0	0.00081	0.01213	0.02669	0.26415	0.07618	0.0	0.00629	0.04281	0.0	0.0	0.1696	0.02051	0.13963	0.33968	0.0	0.15016	0.0	0.0	0.87125	0.04895
s__Lachnoclostridium_sp_An138	0	0.0	0.00104	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Roseburia_sp_CAG_471	0	0.0	0.00094	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00083	0.0	0.00159	0.00302	0.0	0.0	0.0	0.0	0.0	0.0	0.00175	0.0	0.0	0.0
s__Clostridium_spiroforme	0	0.0	0.0008	0.04632	0.0	0.0	0.0	0.0585	0.0	0.0	0.0	0.0	0.01402	0.0	0.0	0.0099	0.0	0.01751	0.0	0.0	0.0194	0.00934	0.0	0.0	0.0	0.12743
s__Oscillibacter_sp_CAG_241	0	0.0	0.00076	0.0	0.1034	0.0	0.14887	0.0	0.0	0.0	0.0	0.0	0.0	0.84129	0.0	0.0	0.0	0.0	0.0	0.26592	0.22046	0.0	0.16041	0.0	0.0	0.0
s__Anaerotignum_lactatifermentans	0	0.0	0.0004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05669	0.0	0.0	0.01695	0.01974	0.0	0.0	0.01355	0.0	0.0	0.0	0.0	0.0	0.69061
s__Clostridium_sp_CAG_58	0	0.0	0.0	6.16569	0.01789	0.4747	0.51382	0.0	0.99001	0.53334	0.0	0.0	0.49674	0.0	0.34405	0.90792	0.0	0.0	0.0	0.0	0.13706	0.0	0.0	0.07312	0.0	0.0
s__Bacteroides_thetaiotaomicron	0	0.0	0.0	3.83314	0.43568	0.15432	14.00691	0.0	4.1445	4.30127	36.79226	0.0	0.0	2.15169	0.72915	0.0	1.34288	0.0	6.78302	5.98453	1.24451	0.91217	0.0	0.0	9.38364	0.0
s__Ruminococcus_bromii	0	0.0	0.0	0.76778	0.11068	0.07332	1.16186	0.0	0.0	0.0	0.0	0.8544	0.0	0.0	0.63502	0.72808	0.29501	0.0	0.0	0.0	2.44841	6.83787	0.31121	1.11831	0.0	4.38315
s__Clostridium_symbiosum	0	0.0	0.0	0.57427	0.0	0.0	0.01388	0.07771	0.32931	0.1405	1.61812	0.01519	0.09877	0.01138	0.0	0.02636	0.03733	1.53738	0.30416	0.34819	0.0	0.06379	0.0	0.0	0.07649	3.00298
s__Blautia_hansenii	0	0.0	0.0	0.37933	0.0	0.0	0.0	0.54326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01801	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00401	0.0
s__Clostridiales_bacterium_1_7_47FAA	0	0.0	0.0	0.33692	0.0	0.0	0.0	0.0	0.00145	0.00485	0.01202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00432	0.08225	0.0	0.00056	0.0	0.0	0.0	0.02577
s__Eubacterium_sp_CAG_251	0	0.0	0.0	0.25234	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.51131	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Tyzzerella_nexilis	0	0.0	0.0	0.15754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00057	0.0	0.0	0.0	0.00239
s__Erysipelatoclostridium_ramosum	0	0.0	0.0	0.12451	0.0	0.0	0.0	0.00606	0.02067	0.0	0.02498	0.0	0.00145	0.0	0.01055	0.01535	0.00699	0.04734	0.01455	0.07811	0.0	0.0	0.0	0.0	0.0	0.02558
s__Candidatus_Stoquefichus_sp_KLE1796	0	0.0	0.0	0.12446	0.0	0.0	0.0	0.0	0.15553	0.02631	0.0	0.0	0.00592	0.03426	0.0	0.1217	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Dielma_fastidiosa	0	0.0	0.0	0.11652	0.0	0.0	0.00751	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02811	0.01801	0.0	0.0	0.0	0.10212	0.0	0.0	0.0	0.0
s__Clostridium_citroniae	0	0.0	0.0	0.09769	0.0	0.0	0.00986	0.13094	0.01054	0.00484	0.09139	0.0	0.00282	0.0	0.0103	0.0	0.01041	0.0	0.01011	0.04497	0.0	0.05145	0.0	0.0	0.0	0.66234
s__Asaccharobacter_celatus	0	0.0	0.0	0.06984	0.0	0.00319	0.0	0.0	0.05504	0.01036	0.0	0.00244	0.0	0.0025	0.0	0.01257	0.01958	0.0	0.02553	0.00509	0.022	0.0	0.0	0.0	0.0	0.0
