clade_name	NCBI_tax_id	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
s__Bifidobacterium_pseudocatenulatum	0	0.48783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03276	0.22643	0.32312	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05619	0.32832	0.14541	1.11621	0.73102	2.46253	0.01564	0.42822	0.02363	0.19356	0.05661	0.02933	0.0	0.0	1.61447	0.0	0.0	0.0	0.0	0.0	0.0	0.48654	0.0	0.06098	0.20414	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54708	2.6216	0.0946	0.0	0.0	0.07862	0.0	0.0	0.0	0.0	0.0	0.0	0.00677	0.0
s__Collinsella_aerofaciens	0	0.47832	0.06869	0.88118	0.21946	0.96014	0.14835	0.0	0.00593	0.0023	0.02394	0.03727	0.40389	0.33933	0.38924	0.136	0.61926	0.24694	0.22139	0.28272	0.23752	0.13707	0.4653	0.09599	0.75997	0.56247	0.36349	1.01264	0.05051	3.90882	0.06914	0.45007	0.58884	0.11232	0.0	0.32599	0.13902	0.12645	1.30267	0.4215	0.15446	0.39621	0.06005	0.08965	4.98161	1.82581	0.14413	0.0	1.56977	0.03565	0.02708	1.71888	0.21193	0.17902	0.3541	2.1953	8.87834	0.45562	0.22369	0.1811	1.05683	0.35079	0.81728	1.38612	3.13567	0.88355	1.3453	6.38794	0.27098
s__Bacteroides_caccae	0	0.28552	0.0	0.0	0.18919	0.0	0.0	0.0	0.42165	0.0	0.0	1.95242	3.37393	1.41076	3.27765	0.95682	0.95438	0.78469	0.0	0.0	0.0	0.0	0.13818	0.53556	0.0149	0.46653	0.30113	7.30664	0.01681	0.48559	0.0	0.00476	0.0	0.34139	0.0	0.01318	0.01461	2.04548	0.01288	0.02985	0.0	0.0	0.0089	0.00373	28.3873	0.1516	0.33939	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01054	0.75062	13.1939	0.06425	0.0	0.0	2.55541	0.0	0.15166	0.0	0.0	0.0	0.0	0.35002	0.0
s__Alistipes_putredinis	0	0.285	0.02286	0.0	0.03876	0.0	0.0	0.0	6.56716	0.0	5.42169	0.008	0.63262	0.0	0.0	0.0	0.0	0.02055	0.0	0.0	0.0	0.0	0.73719	0.0	1.27172	3.36224	10.30359	10.79784	0.0	9.40108	0.0	0.01052	0.0	0.0	0.0	0.0215	0.63652	6.0769	0.0	0.0	0.00558	0.03377	0.03786	0.02363	0.0	0.15045	1.34467	0.0	0.0	0.00288	0.0	0.0	0.0	0.0	0.03995	10.27653	0.0	0.03651	0.0	0.04341	0.23487	0.0	0.03279	0.02875	0.0	0.0	0.0	0.09221	0.0
s__Bacteroides_uniformis	0	0.23015	0.4436	0.06581	0.0	0.0	0.03522	0.0	34.06323	0.05346	14.0962	4.94422	13.4398	0.04106	0.66054	3.25194	0.55404	0.15648	0.0	0.03084	0.0	0.0	15.71618	0.90457	1.31191	8.51982	1.08999	0.0	0.09996	14.20371	0.0	0.03633	0.0	0.12313	0.0	0.31302	0.02495	0.42483	0.04588	0.0	0.0	0.0	0.09153	0.6152	0.90648	1.62877	0.76159	0.0	10.55669	0.0	0.06748	0.0	0.0	0.0	0.01548	4.45963	0.61153	0.10751	0.0	0.0047	1.1297	0.0	0.0	0.0	0.0	0.0	0.0	0.6097	0.0
s__Slackia_isoflavoniconvertens	0	0.23013	0.02121	0.01887	0.02836	0.0588	0.45555	0.0	0.0	0.0	0.0	0.0	0.0	0.10641	1.17496	0.0	0.05986	0.14628	0.13144	0.03456	0.01855	0.06184	0.14299	0.07749	0.44426	0.0	0.05957	0.0	0.03264	0.0	0.05886	0.21955	0.19805	0.29344	0.0	0.01064	0.0	0.03695	0.14927	0.01363	0.02281	0.05578	0.02735	0.0	0.1561	0.54908	0.0	0.0	0.0	0.04329	0.0	0.02759	0.01279	0.0342	0.04096	0.00038	0.0	0.0103	0.05647	0.03136	0.0	0.02599	0.16003	0.48928	0.60325	0.05603	0.12879	0.01434	0.19927
s__Parabacteroides_distasonis	0	0.20923	0.33058	0.0	0.26489	3.12466	0.20966	0.0	1.19686	2.99494	0.83142	3.98956	2.47919	7.71422	1.21963	0.34524	7.93025	0.12387	0.0	0.04989	0.0	0.0	0.59079	0.4365	0.8014	0.04156	0.50981	1.50603	0.61935	0.7693	0.0	0.02658	0.0	0.21103	0.0	0.40589	0.18623	0.63525	0.22562	0.37726	0.0937	0.19717	0.06367	1.01148	10.73758	0.96143	0.74118	0.0	0.0	0.36534	0.08365	0.0	0.0	0.0	0.42756	2.78141	4.67499	0.03085	0.0	0.0	1.24344	0.0	0.09994	0.0	0.0	0.0	0.0	2.11658	0.06723
s__Agathobaculum_butyriciproducens	0	0.20054	0.48734	0.12927	0.02075	0.0	0.0	0.0	0.00593	0.01104	0.01502	0.00693	0.06741	0.05686	0.19884	0.0	0.0	0.07889	0.02532	0.03148	0.12075	0.03519	0.0678	0.06341	0.02777	0.06889	0.03933	0.07474	0.08246	0.18477	0.00696	0.15751	0.16348	0.05518	0.0	0.1427	0.03708	0.18654	0.24922	0.16995	0.0	0.03177	0.01821	0.15167	0.03403	0.07404	0.03562	0.0	0.0	0.0	0.04333	0.22096	0.08796	0.10787	0.32138	0.83251	1.07131	0.25506	0.16769	0.02051	0.34645	0.85594	0.35551	1.03334	0.08135	0.33236	0.40426	0.30367	0.03607
s__Ruminococcus_torques	0	0.18422	0.02297	0.57584	0.1765	1.56646	0.5561	0.36968	0.00482	0.0	0.06136	0.0	0.01344	0.18328	0.39385	0.50739	0.16402	0.18624	0.34845	0.16807	0.91115	0.12023	0.00359	0.19973	0.46406	0.0	0.32894	0.12444	0.3449	0.18959	0.65678	0.28881	1.82556	0.27506	0.0	0.26407	0.07858	1.35109	1.24952	0.5974	0.80913	0.2695	0.02797	0.00182	0.00179	0.0	0.0	4.04447	0.0	0.37135	0.11256	1.78976	0.11409	0.08817	0.0149	0.74875	0.0	0.26692	0.45451	0.22366	0.15891	0.04332	0.71199	0.12019	0.80739	0.59043	1.08937	0.0017	0.07027
s__Roseburia_faecis	0	0.18328	0.0	0.87551	1.14109	0.0	0.0	0.00686	0.0	0.10069	0.0	0.0	0.0	0.06374	1.74494	0.15643	0.0	0.31342	0.0	0.04121	0.0	0.02324	0.04186	0.51492	0.16373	0.84629	0.0	0.81882	0.22572	0.16126	2.91844	0.52943	0.74039	1.24098	0.0	3.83445	0.32988	1.91453	0.22502	2.60463	1.53347	1.51655	1.28562	0.11659	0.20929	1.29661	0.88489	0.0	0.0	1.15831	1.73148	0.85471	2.67748	0.35394	0.66699	0.41826	0.0	1.37698	7.30249	0.96903	2.15939	0.19444	0.2303	0.15074	0.04509	0.00685	0.4005	0.05542	0.0
